,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd
ECA2_0050_05.a_p1,0.0579774644758471,0,0.154172270202234,0.141535177039133,0.0384615384615385,0.19763122432347,7.13543213543214,6,4.72594899083831,-2.16335016335016,-4,6.17294225675375,443.819567018456,437.718466029314,114.406854757759,0.340028070925621,0.329388270385493,0.119957627335181,-0.580631449740256,-0.666666666666667,0.564270056952492,1.48131872054446,1.54838709677419,0.366686152394281,0.466005613735305,0.464285714285714,0.186165231552,0.02092662240431,0,0.0514560909749167,0.0205793373638054,0,0.0264534630614314,0.451846488052136,0,0.701988785293522,1688.51012771013,1652.1,693.156330344095,-3180.04427298903,-3075.46120262669,1042.80417852957,76.8479963175973,79.3,16.081696623146,-147.103681032101,-148.059599292529,8.12469590155344,0.0479625055281623,0.0416229712204295,0.0232920224110511,0.0425059852804799,0.0374524884572174,0.0199120425798196
ECA2_0050_06.a_p1,0.0550968355721439,0,0.163426567147744,0.115922851923,0,0.192206054472447,6.88076673164392,6,5.03704964787801,-2.51494476933073,-4,6.55406287597197,458.865011346397,449.705494427815,123.353293642038,0.354212560828774,0.335669235951912,0.139090303650882,-0.651734379812639,-0.714285714285714,0.540031674018348,1.53165095056176,1.58823529411765,0.355178747304411,0.459279355635178,0.454545454545455,0.1876662190802,0.021272979993758,0,0.0498526214783139,0.0228897902226416,0,0.027208817019582,0.479136690647482,0,0.706289223012355,1780.84259259259,1733.85,715.953467695903,-3298.03337993542,-3205.76888933713,1098.37136856187,78.8744298246602,80.6571428571429,15.3909027095229,-148.15269389958,-148.884954866391,7.72221441047058,0.0456467767038525,0.0388704621437255,0.0231421464357359,0.040429756870288,0.034980355658747,0.0194090581437905
ECA2_0050_07.a_p1,0.0567357784238518,0,0.154449890749993,0.138566250691712,0.0285714285714286,0.199164432349357,7.0517087667162,6,4.86173276761928,-2.23476968796434,-4,6.19842649921284,442.147779648963,436.729922779545,114.081108990802,0.338022684297451,0.329789218445114,0.116038912867661,-0.575716505201799,-0.666666666666667,0.577825937734506,1.489780529506,1.5625,0.376770236899555,0.468093558152735,0.464285714285714,0.186023602245659,0.0230938144673777,0,0.0548584990244079,0.020390848151993,0,0.0267150929725816,0.474852071005917,0,0.695307828145375,1679.47613670134,1652.1,700.010832902796,-3164.99564191709,-3052.55351591625,1060.57572250245,76.7079203982513,79.3,16.4680392254334,-146.980832941525,-148.059599292529,8.39870412930646,0.0484230585012675,0.0416075599048028,0.0238649921512879,0.0429448802537122,0.037484723842048,0.0204549382297408
ECA2_0050_08.a_p1,0.0515632603855356,0,0.151635202958263,0.12085145308084,0,0.188884172893799,6.76003764115433,6,4.75774693335601,-2.47898368883312,-4,6.16308004701201,443.186151886143,437.653848267691,114.27491059811,0.342666873445183,0.329760840788254,0.130317428095727,-0.633969156008782,-0.695652173913044,0.545386140249107,1.52509535678078,1.58064516129032,0.355878133816636,0.462742674280026,0.458333333333333,0.18332512873832,0.0222968485024833,0,0.0517887906554928,0.0224481315551746,0,0.0273152781217667,0.472182596291013,0,0.68292894908927,1719.25163111669,1709.1,679.0481085405,-3197.3770950441,-3096.34579282369,1044.00920024294,78.3681209462503,80.1260869565217,15.5435049970995,-147.853099288827,-148.63229146029,7.9376715953599,0.047159781338702,0.0402012242969369,0.0235981395633188,0.0418385562687512,0.0361746348375329,0.0200906816611051
ECA2_0050_09.a_p1,0.0564919622747795,0,0.16255725405462,0.121461947956866,0,0.191377178578699,6.89574201628053,6,4.95903298753338,-2.33938634940513,-4,6.58772276273342,449.251455071905,441.636279068757,119.135829689286,0.34263756626947,0.331559487050413,0.127210571253402,-0.645354807837389,-0.705882352941177,0.527706686964828,1.52453883699134,1.58333333333333,0.352519773251982,0.455177287810497,0.45,0.186623012553031,0.0222131559096195,0,0.0494124634984736,0.0217344662734664,0,0.0267370905577953,0.491672700941347,0,0.689020642957007,1757.63368816531,1725.6,691.547015479036,-3259.38818477325,-3157.9304194028,1070.74092708837,78.6926120233656,80.4176470588235,15.0396405784976,-147.927255283153,-148.764247136559,7.71234159118489,0.04603618764015,0.0392185311533608,0.0227756115384486,0.0409072230406456,0.0352268418979805,0.0194695282665614
ECA2_0050_10.a_p1,0.0417300650172685,0,0.13278933196972,0.131162527984261,0.0344827586206897,0.182775598863218,6.73426824883136,6,4.21894597273092,-2.66271125494426,-4,5.10739424323254,434.628198235516,432.700383132483,107.945421668227,0.351011210069213,0.334945389886258,0.144635173525933,-0.575264068851018,-0.636363636363637,0.559688170246769,1.50018850689704,1.55555555555556,0.359033197008921,0.478336517150547,0.470588235294118,0.174274052418473,0.0213705859846078,0,0.0539463509437202,0.021389237076247,0,0.0275871922089295,0.434129089301503,0,0.68345984542792,1612.81154261057,1598.4,610.929610093522,-3058.79985256178,-3004.71504598191,912.107364525052,76.695025962254,78.4363636363636,15.9511128520329,-147.134989500106,-148.052121048748,8.07552902765896,0.0488080954914359,0.0431441540038051,0.0218978012400428,0.0432316589385581,0.0385570704238453,0.0185748624554559
ECA2_0051_01.a_p1,0.0422878182120934,0,0.137700815957127,0.122912412255768,0.0303030303030303,0.178563205060647,6.7489224137931,6,4.3842356658993,-2.6253591954023,-4,5.4828727425401,441.131281507511,436.657168784834,110.092253654161,0.347401157793989,0.334942431097261,0.136512211489845,-0.607735492695423,-0.666666666666667,0.551164179291524,1.51047748216567,1.5625,0.347734964780617,0.469871864123451,0.461538461538462,0.175943175175431,0.0194624635597468,0,0.0502738420137517,0.0212229276105467,0,0.0271429209693661,0.422473867595819,0,0.658986682294906,1681.53502155172,1665.3,647.770963612218,-3152.90872690386,-3073.43810611325,973.719772970284,77.6204615418195,79.3,15.7081791098084,-147.562661386255,-148.415462221105,7.94509650318022,0.0474565525678929,0.041244839625061,0.0223355883802163,0.042051320764653,0.0370249737541542,0.0189603865342676
ECA2_0051_02.a_p1,0.0408965072580856,0,0.136285094352618,0.1099525466355,0,0.172405632590764,6.61630434782609,6,4.37100840763117,-2.66159420289855,-4,5.62420882392122,452.81239651362,446.720128732728,110.947265739507,0.343622493771693,0.335167962223807,0.119100009895463,-0.651231697469256,-0.714285714285714,0.521853675741935,1.53470953319981,1.59090909090909,0.334099720201062,0.4553663982677,0.448275862068966,0.171361693041116,0.0193654945644251,0,0.04702000100331,0.0204995947605459,0,0.0265558102680807,0.499554764024933,0,0.762740729295723,1752.22913043478,1725.6,669.907657547231,-3245.96772124314,-3160.96506417297,1016.69528658062,78.8601033778738,80.6571428571429,14.8728297586451,-148.135206759335,-148.927434608498,7.43392156063034,0.0457681257173478,0.0391000376065182,0.021823029981133,0.0405978317019756,0.035276023616326,0.0183737815443415
ECA2_0051_03.a_p1,0.0441470755612881,0,0.139070523283641,0.118884037294883,0.0212765957446809,0.179269309577717,6.63698630136986,6,4.43996940967383,-2.65068493150685,-4,5.63019616129931,445.439503490073,439.703665122954,112.879008948626,0.342850884775167,0.33327119699311,0.131283561605597,-0.640072102913489,-0.714285714285714,0.560633298768584,1.52870330985223,1.58620689655172,0.352048739035248,0.461222224258294,0.454545454545455,0.179655890848303,0.0200709267114485,0,0.0523538779959214,0.0211651879437462,0,0.0267777159511935,0.422385620915033,0,0.672206453356192,1733.68078767123,1712.4,686.37964992725,-3215.13634197267,-3140.61504598191,1022.85062927705,78.5420549330344,80.6571428571429,15.9780490149047,-147.925578962303,-148.919382296682,8.13999832040168,0.0464879932463148,0.0401024721616148,0.0228843163378979,0.041259241235157,0.0360100334842931,0.0195534248600627
ECA2_0051_04.a_p1,0.0492511167899464,0,0.145664515986168,0.12919556868494,0.0303030303030303,0.1856311286717,6.91243030501804,6,4.59007326762639,-2.47228599540833,-4,5.87997592278769,445.651576471636,439.622819616229,112.592427103807,0.344889959459555,0.334822897120716,0.129208073448693,-0.601284589628865,-0.666666666666667,0.566090569699066,1.50276866635551,1.5625,0.359366740852697,0.467196058204897,0.461538461538462,0.183208899260562,0.0198142929672916,0,0.0504592002303861,0.0207039205187207,0,0.0267399032689608,0.43338683788122,0,0.671849994937937,1708.95063955395,1668.6,691.607880123913,-3202.10921777092,-3106.25351591625,1033.28724509256,77.4366108044227,79.3,16.1335812364234,-147.44209744039,-148.468665126644,8.09232392471099,0.0471562264186935,0.0408501677655754,0.0226495789733235,0.0417937020814068,0.0365818922012209,0.0192742081127512
