,ECA2_0052_01.a_p1,ECA2_0052_05.a_p1,ECA2_0052_10.a_p1
445.230368100921,0,1,0
446.143352310428,1,1,0
447.05691596879,1,1,1
447.09324777296,0,0,1
447.127450430325,0,1,0
447.129676968486,1,0,1
449.036153802432,0,0,1
449.072543871549,1,1,1
449.108959458991,1,1,1
451.088224866763,1,1,1
451.124612374534,1,1,1
452.232363967682,0,1,0
453.067431269955,1,0,1
453.103879493075,1,1,1
455.046715100367,0,0,1
455.083066172065,1,1,1
455.145370292843,0,1,0
455.251073856027,0,1,0
456.984839767553,1,1,0
457.062313980676,0,0,1
457.077591558917,0,0,1
457.098763730391,1,1,1
457.159333487824,0,0,1
458.225568277273,0,1,0
458.999191144513,1,0,0
459.056886551281,1,0,1
459.07803100804,0,1,1
459.093298769617,1,0,0
459.209658245676,0,1,0
459.246044317094,0,1,1
459.263149632829,0,1,0
461.036135966289,0,0,1
461.072585278075,1,1,1
461.108943198435,1,1,1
461.145280607664,1,0,1
463.051796648179,1,1,1
463.088237089778,1,0,1
463.124640508137,1,1,1
465.067432255195,1,0,1
465.103724532452,1,1,1
465.140219212629,1,0,1
465.155694453967,1,0,0
467.023352858067,0,0,1
467.03812172271,0,0,1
467.046664879621,0,0,1
467.083088723042,1,0,1
467.119488879741,1,1,1
469.035153188833,0,0,1
469.041251120829,0,0,1
469.062391950278,1,1,1
469.098788737284,1,0,1
469.124589870812,1,0,0
469.127129437497,1,0,0
469.163470241374,1,0,0
469.199879909172,0,0,1
471.0568865953,0,0,1
471.078035727446,1,1,1
471.093294714313,0,1,0
471.103841750038,0,0,1
471.114437648015,1,1,1
471.14026237024,0,1,1
472.241253127814,0,1,1
473.072512021629,0,0,1
473.093654028881,1,0,1
473.10896169189,1,0,1
473.119457232251,1,1,1
473.192479446663,0,0,1
473.225223648305,0,1,0
474.220479270808,0,1,1
475.088201185657,1,0,1
475.109293900134,0,0,1
475.122332082801,1,0,0
475.124578091397,1,0,1
475.152265456224,0,1,0
475.197358389296,1,0,0
475.204590776663,0,0,1
477.067440428582,1,0,1
477.103863774774,1,1,1
477.13507699005,0,1,0
477.138056214656,0,1,0
477.140239441194,1,1,1
477.234412509853,0,1,0
479.046746846163,0,0,1
479.083137241405,1,1,1
479.119494456519,1,1,1
479.153652882993,0,1,0
481.062459861554,0,1,1
481.062756211482,1,0,0
481.098759907666,1,0,1
482.205996969858,0,0,1
483.040576247377,0,1,1
483.078054850357,0,1,1
483.114399192026,1,0,1
483.140198782256,0,0,1
484.912430664887,1,1,0
485.037583338166,0,0,1
485.057251926055,0,0,1
485.072546720618,0,1,1
485.093702257776,0,1,1
485.130125715282,1,1,1
485.151231879122,1,1,1
485.155217123816,0,0,1
485.192525302392,0,0,1
487.051808001915,0,0,1
487.072908385839,0,0,1
487.088158081193,0,0,1
487.101206544156,0,0,1
487.109268338757,1,1,1
487.135049294402,1,1,1
487.305526987522,0,1,0
488.236099399069,0,1,0
489.067452353664,1,1,1
489.103909296539,1,1,1
491.046731187286,0,0,1
491.083140362522,1,0,1
491.119503011574,1,1,1
491.153662935336,1,0,0
491.177255939564,1,0,0
491.22867516802,0,1,0
493.062382400704,1,0,1
493.098754570284,1,0,1
493.135110438364,1,1,1
495.041686558027,0,0,1
495.078065105915,1,0,1
495.114510570912,1,1,1
495.150750770813,1,1,1
497.094385062627,0,0,1
497.130070607371,1,1,0
497.162161094428,1,0,0
497.197599552235,1,0,0
498.928040556679,1,0,0
499.072959600259,1,0,1
499.095525960282,0,0,1
499.109314447884,1,0,0
499.171507833989,1,0,1
499.208112701783,0,0,1
500.172125779022,1,0,0
500.272581031441,0,1,0
501.103888890623,0,0,1
501.150757353948,1,1,0
502.251749557998,0,1,0
503.083074265364,1,1,1
503.128861332623,0,0,1
503.155855241389,1,0,0
503.166527132327,0,0,1
505.011886791946,0,0,1
505.062326760897,1,1,1
505.098755164621,1,0,1
505.169356133996,1,0,1
507.077975555733,0,1,1
507.114407903151,1,0,1
507.148185336589,0,1,0
507.150820094279,1,0,1
507.182022487931,0,0,1
509.057609264675,0,0,1
509.09362381931,0,0,1
509.130039003205,1,1,1
510.947156615768,0,0,1
511.072921729835,0,0,1
511.145670376861,1,1,1
511.158783052655,1,0,0
511.213349092646,1,0,0
513.124998295275,1,0,1
513.187345655903,0,1,1
515.202612020022,0,0,1
516.172583073701,1,0,0
516.27381404271,0,0,1
517.06237978443,0,0,1
517.098805264074,0,0,1
517.135158131389,0,0,1
519.07801170116,0,0,1
519.150761703309,0,0,1
519.184850891063,1,1,1
521.093602165006,1,0,1
521.127803785539,1,1,1
521.166424144345,1,0,1
521.227318117612,0,0,1
523.072914985378,0,0,1
523.109275597845,1,0,1
523.145701405039,1,0,1
