,ECA2_0005_01.a_p1,ECA2_0005_02.a_p1,ECA2_0005_03.a_p1,ECA2_0005_04.b_p1,ECA2_0005_05.a_p1,ECA2_0005_06.a_p1,ECA2_0005_07.a_p1,ECA2_0005_08.a_p1,ECA2_0005_09.a_p1,ECA2_0005_10.a_p1
249.043829910249,0,0,0,1,0,1,0,0,1,1
249.076889830027,1,0,0,0,0,0,0,0,0,0
249.113254751525,0,0,0,1,1,0,0,0,0,0
249.152981215788,1,0,1,1,0,1,0,0,1,1
251.01976940635,1,0,0,0,0,1,0,0,0,1
251.032510216357,0,1,0,0,0,0,0,0,0,0
251.056133941414,1,1,1,1,1,1,0,0,1,1
251.078082541343,1,1,1,0,0,0,0,1,0,0
251.07859958616,1,1,1,0,1,1,1,1,1,1
251.092496275315,1,0,1,1,0,1,0,0,1,1
253.03538516246,1,1,0,0,1,1,0,0,0,1
253.121034315695,0,1,0,0,0,0,0,0,0,0
255.062297216038,1,1,1,1,1,1,1,1,1,1
255.066322802143,1,0,0,0,0,0,0,0,0,0
255.196579554938,0,1,0,0,1,0,0,0,0,0
257.030318065288,1,0,0,0,0,0,0,0,0,0
257.041559017234,0,0,0,0,0,0,1,0,1,0
257.048912729196,0,0,0,0,0,1,0,0,0,0
257.085353119604,0,0,0,0,0,0,0,0,1,1
257.114316207114,1,0,0,0,0,1,0,0,0,1
258.09835108965,1,1,0,0,0,1,1,1,0,1
258.145973610707,1,1,0,0,1,1,1,0,1,1
259.028223572559,0,0,0,0,0,1,0,0,0,0
259.129974451967,1,1,1,0,1,1,1,1,1,1
259.191501035286,0,0,0,1,0,0,0,0,0,0
261.040499747034,0,0,0,0,0,0,0,0,0,1
261.043875774277,0,0,0,0,0,0,0,0,1,0
261.088102050799,0,0,0,0,0,1,1,0,0,0
261.955591546,0,1,1,1,1,0,1,1,1,1
262.100131005709,0,0,0,0,0,0,0,0,0,1
263.056162162984,1,1,0,0,0,1,0,0,1,1
263.059518354884,0,0,0,0,0,0,0,0,0,1
263.092501343246,0,0,1,0,0,1,0,0,0,0
263.128918628623,0,1,1,0,1,1,0,0,0,0
264.047399140689,1,1,1,0,1,1,0,1,1,1
264.108914241843,0,0,0,0,1,0,0,0,0,0
264.160524638605,1,0,0,0,0,1,0,0,0,0
264.999853704141,1,0,0,0,0,0,0,0,0,0
265.035416012644,1,0,0,1,1,1,0,0,0,1
265.057353286986,0,0,0,0,0,0,0,1,0,0
265.057856790769,1,1,1,1,1,1,1,1,1,0
265.07175654152,1,1,1,1,1,1,0,0,1,1
265.108161078953,1,1,1,0,1,1,1,0,1,1
265.119415187426,1,1,0,0,0,1,0,0,0,0
265.180917735873,0,0,0,0,1,0,0,0,0,0
266.044467873695,1,1,1,0,0,0,0,0,0,0
266.067038262927,0,1,0,0,0,0,0,0,0,0
266.089479883299,1,1,1,0,1,1,0,1,0,0
266.994272940638,0,1,1,0,1,0,1,0,1,1
267.01468081692,0,1,1,0,0,0,0,0,0,0
267.051013014992,1,1,1,1,1,1,0,0,1,1
267.073503387235,1,1,1,0,1,1,0,1,1,1
268.046339522371,0,1,0,0,0,0,0,0,0,0
269.022133341291,0,1,0,0,0,0,0,0,0,0
269.030335719134,1,0,0,0,1,0,0,0,0,1
270.061980946967,0,0,0,0,0,1,0,0,0,0
270.207469918725,0,0,0,1,0,0,0,0,0,0
271.095305696925,0,0,0,0,0,0,1,0,0,0
271.129983188619,1,0,0,0,0,1,0,0,0,0
272.125225391015,1,0,0,0,0,1,0,0,0,1
272.161546866663,1,1,0,0,1,0,0,0,0,0
273.040493461949,0,1,0,0,1,0,0,0,0,1
273.076885700268,0,0,0,0,1,0,0,0,0,0
273.080235019038,0,0,0,1,0,0,0,0,1,1
273.109211861709,1,0,1,1,1,1,0,1,1,1
274.165884699009,0,1,0,0,0,0,0,0,0,0
274.97106521367,0,0,1,0,0,0,1,1,0,0
275.019686012876,0,1,0,0,0,0,0,0,0,0
275.040884998183,1,0,0,0,0,0,0,0,0,0
275.049486491757,0,1,0,0,0,0,0,0,0,0
275.095894541533,0,0,0,1,0,1,1,0,1,1
275.103723415877,0,0,0,0,0,1,0,0,0,0
277.035388091511,1,1,1,1,1,1,0,0,0,1
277.038794432503,0,0,0,0,0,0,0,0,0,1
277.050112830188,1,1,1,0,1,1,0,1,0,0
277.059631820522,1,1,1,1,1,1,1,1,1,1
277.071780747801,0,1,1,0,1,0,0,0,1,1
277.075138374456,0,0,0,0,0,0,0,0,1,1
277.08291887767,0,0,0,0,0,1,0,0,0,0
277.086336644308,0,1,0,0,0,0,0,0,0,0
277.108133008574,1,1,1,0,1,1,1,0,1,1
277.111485347462,1,0,0,1,0,1,1,0,1,1
277.155803904556,0,1,0,0,0,0,0,0,0,1
277.954738304947,0,0,0,0,0,0,0,0,0,1
278.067013845785,0,0,0,0,1,0,0,0,0,0
278.103406541299,1,0,0,0,0,0,0,0,0,0
278.124559603018,0,1,0,0,0,0,0,0,0,0
279.014622292583,1,0,1,0,1,0,0,1,0,1
279.05103605999,0,0,0,1,1,0,1,0,1,1
279.061519343932,1,0,1,0,0,1,0,0,0,0
279.06634875781,1,1,1,0,1,1,0,1,1,0
279.098603709576,1,1,0,0,0,1,0,0,1,1
279.108530479479,0,1,0,0,1,1,1,0,0,0
279.123933061648,0,0,0,0,0,0,0,1,0,0
279.134995754144,0,0,0,0,0,1,0,0,0,0
279.156204112013,0,0,0,1,0,0,0,0,0,0
280.060083430889,1,1,1,0,1,1,1,1,1,1
280.068704035316,1,1,1,0,1,1,1,1,1,0
281.030306431672,1,1,1,1,1,1,0,1,1,1
281.052772041435,1,1,0,0,1,0,1,0,0,0
282.084373284142,0,1,1,0,1,0,0,0,0,0
283.04595745831,1,1,1,0,1,1,1,1,1,1
283.068429772895,1,1,1,0,0,1,0,0,1,1
283.100967866495,1,0,0,0,0,0,0,0,0,0
283.129936152649,1,0,0,0,0,0,0,0,0,0
283.137346800078,1,0,0,0,0,0,1,1,1,0
283.227901399487,0,0,0,0,1,0,0,1,0,0
284.161546932859,1,1,0,0,1,1,0,1,1,0
285.110997560942,1,1,0,1,0,1,1,1,1,1
285.145553762835,1,1,0,0,0,1,0,1,1,1
286.140796057885,1,0,0,0,0,0,0,0,0,1
286.17717909044,1,1,0,0,1,1,0,1,0,1
287.040868822099,0,0,0,0,0,1,0,0,0,0
287.055215643865,1,1,1,0,1,1,0,1,1,1
287.056056994507,1,0,0,0,0,0,0,0,0,0
287.067378423303,0,1,0,0,0,1,1,0,1,0
287.095851350916,1,0,0,0,0,0,0,0,0,0
287.124855166614,1,0,1,0,1,1,0,1,1,1
288.120128787829,1,0,0,0,0,1,0,1,0,0
288.156510341019,1,1,1,0,1,1,1,0,0,1
288.992426996952,0,0,1,0,0,0,0,0,0,0
289.035335238622,1,1,1,0,0,0,0,0,0,1
289.038715491215,0,1,0,0,0,1,0,0,0,0
289.075126885359,0,0,0,1,0,0,0,0,1,1
289.083056783844,0,1,0,0,0,1,0,0,0,0
289.111520171072,0,1,0,1,0,1,1,0,1,1
291.014598605754,1,1,0,0,1,1,0,1,1,1
291.050985782488,1,1,0,0,1,1,0,0,1,1
291.090755523447,0,0,0,1,0,0,0,0,1,1
291.098673822461,0,0,0,0,1,0,0,0,0,0
291.127153839027,1,0,0,0,1,0,0,0,0,0
292.042240650347,1,0,1,0,0,1,1,0,0,0
292.13028576484,0,1,0,0,0,0,0,0,0,0
293.030316334653,1,1,1,0,1,1,1,0,1,1
293.060083616022,0,1,0,0,0,0,0,0,0,0
293.066707280246,1,1,1,1,1,1,1,1,1,1
293.070069024992,0,0,0,0,0,0,0,0,1,0
293.10645314903,0,0,0,1,0,0,0,0,1,1
293.114267381535,1,1,1,0,1,1,1,1,1,1
293.142838517349,0,0,0,0,1,0,0,0,0,0
293.165195385237,0,0,0,1,0,1,0,0,0,0
294.044250373179,0,1,0,0,0,0,0,0,0,0
295.00951132373,1,0,0,0,0,0,0,0,0,1
295.04590311567,1,1,1,1,1,1,1,0,1,1
295.071881283394,0,0,0,0,1,0,0,0,0,0
295.103494391935,0,0,0,0,0,0,1,0,0,0
295.137369757887,0,0,0,0,0,0,1,1,1,0
295.187456357015,0,0,0,1,0,0,0,0,0,0
295.19144189826,0,0,0,0,1,0,0,0,0,0
296.125176650321,1,0,0,0,0,0,0,0,0,0
297.025193164039,0,0,0,0,1,0,0,0,0,1
297.08744391485,0,1,0,0,1,0,0,0,0,0
297.089862170587,0,0,0,0,1,0,0,0,0,0
297.116608279898,1,0,0,0,0,0,0,1,0,0
297.158356173741,0,0,0,0,0,0,0,0,1,0
298.140824139837,1,0,1,0,0,1,0,0,1,0
298.177221206525,1,1,0,0,1,1,0,0,0,0
299.040885905944,1,1,1,0,1,1,0,0,1,1
299.157246356087,0,0,0,0,0,0,0,1,0,0
299.161255970354,1,0,0,0,1,0,1,1,0,1
300.072452790186,0,0,0,0,1,0,0,0,0,0
300.120137423608,1,0,1,0,0,1,0,1,0,1
300.156517995133,1,0,0,0,0,1,0,0,0,1
300.192899891053,1,1,0,0,1,1,1,0,1,1
300.998955843029,0,0,1,0,0,1,0,0,1,1
301.035522272692,1,0,0,0,0,0,0,0,0,0
301.071730761426,0,1,0,0,1,0,0,0,0,1
301.084785218452,0,1,0,1,0,0,0,0,0,1
301.140531184752,1,0,0,0,0,1,0,0,0,0
301.157568702067,0,0,0,0,1,0,0,0,0,1
302.13574432609,1,1,1,0,1,1,0,1,1,1
302.172131462719,1,1,0,0,1,1,1,0,1,1
303.051014761484,1,0,0,0,0,0,0,0,0,0
303.062211673639,0,1,0,0,0,1,0,1,0,0
303.069521655947,0,1,1,0,0,0,0,1,0,0
303.090773823008,0,0,0,0,0,0,0,0,1,1
303.119822005987,0,0,0,0,0,1,0,0,0,0
303.12381011849,0,1,0,0,0,1,0,0,0,0
303.160201209382,0,1,0,0,1,0,0,0,0,0
303.173192746032,0,1,1,0,1,0,0,1,0,1
303.217659936381,1,1,1,1,1,0,0,1,1,1
304.00254759048,0,1,1,0,1,0,1,0,1,0
305.030274203965,1,1,0,0,1,1,0,0,0,1
305.066654821895,1,0,1,1,1,0,0,0,0,1
305.070009125444,0,0,0,0,1,0,0,0,0,0
305.072055728213,0,1,0,0,0,0,1,0,1,0
305.077841070476,1,1,0,0,1,1,1,1,1,1
305.089128352265,0,0,0,0,0,1,0,0,0,0
305.103064603926,1,1,1,0,1,1,1,0,1,1
305.106420819019,0,0,0,0,0,0,0,0,1,1
305.114255551021,0,1,0,0,0,0,0,0,0,0
305.139456921456,0,0,0,0,0,0,0,0,0,1
305.175849498487,0,1,0,0,1,0,0,0,0,0
306.184113500431,0,0,0,1,0,0,0,0,0,0
307.009519970076,1,0,0,0,1,0,0,0,0,0
307.026168289049,0,1,1,0,1,0,0,0,0,0
307.045927506599,1,1,1,1,1,1,1,0,1,1
307.085693241582,0,0,0,0,0,0,0,0,0,1
307.122104008955,0,0,0,1,0,0,0,0,1,1
307.994019864729,0,0,0,0,0,0,0,0,1,0
308.073598048318,1,1,1,0,1,1,1,1,1,1
308.077605234938,0,1,0,0,0,0,0,0,1,0
308.080958666364,0,0,0,1,0,0,0,0,0,0
308.138234674506,1,1,0,0,1,0,0,0,0,1
308.150340677594,0,0,0,0,0,0,0,0,0,1
309.02518522443,1,1,1,0,1,1,0,0,1,1
309.101372678021,0,0,1,0,0,1,0,0,1,1
309.109211875195,1,1,1,0,1,1,0,0,0,1
309.119089199185,1,0,0,0,0,1,1,0,0,0
310.070661408898,1,0,0,0,0,1,0,0,0,0
311.040842997254,1,1,1,1,1,1,1,0,1,1
311.07852332903,0,0,0,0,0,1,0,0,0,0
311.128830697331,0,0,0,0,1,0,0,0,0,0
311.13223291676,1,0,0,0,0,0,0,1,0,0
312.072550046252,1,1,0,0,1,0,0,0,0,0
312.156539367202,0,0,0,0,1,0,0,1,0,0
312.159851123239,0,0,0,0,0,0,0,1,0,0
313.0208349749,1,0,1,1,1,1,1,1,1,0
313.056500859105,1,1,1,1,1,1,1,1,1,1
313.147853219841,1,0,0,0,0,0,0,0,1,0
313.172915189152,0,0,0,0,0,0,0,1,1,0
313.176899747238,1,0,0,0,0,0,0,0,0,0
313.180873706298,0,0,0,1,0,0,0,0,0,0
314.135731582879,1,0,1,0,1,1,1,1,1,1
314.172095976387,1,1,1,0,1,1,1,1,1,1
314.208478741839,1,0,0,0,1,1,0,0,0,1
315.014674019742,0,1,0,0,0,0,0,0,1,0
315.017984503711,0,0,0,0,0,0,1,0,0,0
315.035765556434,0,0,0,0,1,0,0,0,0,0
315.051086379127,0,1,0,0,1,0,0,0,0,0
315.054460350125,0,1,0,0,0,0,0,0,0,0
315.087459716489,0,0,0,0,1,1,0,0,0,1
315.11975652484,1,0,1,0,0,1,0,1,0,1
315.15610786157,1,0,0,0,0,0,0,0,0,0
315.167365960132,1,1,0,0,1,0,0,0,0,0
316.114988210583,1,0,1,0,0,0,0,0,0,0
316.151388768487,1,1,1,0,1,1,1,1,1,1
316.187805194354,1,1,0,0,1,1,1,0,1,1
317.030261218142,1,1,1,0,0,1,0,0,0,0
317.051456086289,1,0,0,0,0,0,0,0,0,0
317.066687796083,1,1,1,0,1,0,0,0,1,1
317.080883199626,0,0,0,0,1,0,0,0,0,0
317.099069346302,0,0,0,0,0,1,0,0,0,0
317.103096216893,0,0,0,0,0,0,0,0,0,1
317.233373541543,0,1,0,0,1,0,0,0,0,0
318.062926110868,0,0,0,0,0,0,0,0,1,1
318.167103725047,1,1,0,0,1,0,0,0,0,1
319.009596531152,1,0,0,0,0,0,0,0,0,0
319.045941232075,1,1,1,1,1,1,0,0,1,1
319.049332300098,0,1,0,0,0,0,0,0,0,0
319.082295876229,1,1,0,0,1,0,0,0,1,1
319.085647606549,0,1,0,0,1,1,0,1,1,1
319.093567248856,1,1,0,0,1,1,1,1,1,0
319.118690232607,0,1,1,0,0,1,1,0,1,1
319.122061710318,0,0,0,0,0,0,0,0,0,1
319.151081925752,0,0,0,0,0,0,0,0,0,1
321.025154726554,1,0,0,0,1,1,0,0,0,1
321.061551978378,1,1,1,1,1,1,1,0,1,1
321.064905098228,0,0,0,0,1,0,0,0,0,0
321.072788932209,1,1,0,0,1,1,1,1,1,0
321.097982635803,1,1,1,0,1,1,1,0,1,1
321.101343113687,0,1,0,0,0,0,0,0,0,1
321.137756545737,0,0,0,1,0,1,0,0,1,1
322.09321764639,1,0,0,0,0,0,0,1,0,0
322.096646043466,0,0,0,0,0,1,0,0,0,0
322.165952642304,1,0,0,0,0,1,0,0,0,0
322.187167160996,1,1,1,0,1,0,0,1,1,1
323.040869446973,1,1,1,1,1,1,1,0,1,1
323.080668631531,0,0,0,0,0,0,0,0,0,1
323.098309067782,0,1,0,0,0,1,1,0,1,0
323.117036868633,0,0,0,1,0,0,0,0,0,0
323.134729600681,0,1,1,0,1,1,1,1,1,0
323.153345605961,0,0,0,0,1,0,0,0,0,0
323.16866461507,1,0,0,0,0,0,1,1,1,0
323.186525795791,0,0,0,0,0,0,1,0,0,0
324.072481239561,0,1,0,0,1,0,0,0,0,1
324.133154679663,1,0,0,0,1,0,1,0,0,1
325.020080061909,0,0,0,0,1,0,0,0,0,0
325.056517335562,1,1,1,1,1,1,1,1,1,1
325.147929172056,1,0,0,0,0,0,0,1,1,0
326.135761490824,1,0,1,0,0,1,0,0,0,0
326.208526866763,1,1,0,0,0,1,0,0,0,1
327.035717224585,1,1,1,0,1,0,0,0,1,1
327.051027975317,1,0,0,0,0,1,0,0,0,0
327.059901182863,0,1,0,0,0,1,1,1,1,0
327.075474000955,0,0,0,0,1,0,0,0,0,0
327.188493868284,0,0,0,0,0,0,0,1,0,0
327.290527391577,0,0,0,0,0,1,0,0,0,0
328.115051822739,1,0,0,0,0,0,0,0,0,0
328.151343467021,1,1,1,0,1,1,0,1,0,1
328.187775460719,1,1,0,0,1,1,0,1,1,1
328.224197142005,1,0,0,0,1,0,0,0,0,0
329.030222012527,1,0,0,0,0,1,0,0,0,1
329.051455290203,1,1,1,0,1,1,1,0,1,1
329.066687502906,0,1,0,0,0,0,0,0,0,1
329.079723149283,1,1,1,0,1,1,0,0,1,1
329.135401944922,1,0,0,0,0,1,0,0,0,0
329.145797849589,0,0,1,0,0,1,0,0,0,0
329.18298747086,1,1,0,0,1,1,0,0,0,1
330.167007082931,1,1,1,0,1,1,1,1,1,1
330.203459960572,1,1,0,0,1,1,1,0,1,1
330.922483564988,0,0,0,0,0,0,1,0,0,0
330.96167611072,0,0,0,0,0,0,1,0,0,0
331.04599443956,1,1,1,0,1,0,0,0,1,1
331.052193525679,0,0,1,0,0,0,0,0,0,0
331.082339553397,1,1,0,0,1,1,0,0,0,1
331.11864424628,0,1,1,0,0,0,0,0,0,1
331.162243231204,1,0,0,0,0,0,0,0,0,0
331.19150873051,0,1,0,0,0,1,0,0,1,0
332.146372028282,1,1,1,0,1,1,0,1,1,1
332.182676902198,1,0,0,0,1,1,0,0,0,1
332.960422345093,0,0,0,0,0,0,0,1,0,0
333.025203537804,1,1,0,0,1,0,0,0,1,1
333.028447715031,0,0,1,0,0,0,0,0,0,0
333.035744998415,0,0,0,0,0,0,0,0,0,1
333.061621279429,1,1,1,1,1,1,0,0,1,1
333.104194363749,1,0,0,0,0,1,0,0,0,1
333.13431589464,1,1,0,0,1,0,0,0,1,1
333.207151807676,1,1,1,0,1,0,0,1,0,1
334.056816773761,1,0,0,0,0,0,0,0,0,0
334.117376043083,1,0,0,0,0,0,0,0,0,0
335.040827177713,1,1,1,1,1,1,1,1,1,1
335.066747257496,0,0,0,0,1,0,0,0,0,0
335.077281643427,1,1,1,0,1,1,1,0,1,1
335.088508902396,0,0,0,0,0,1,0,0,0,0
336.028701162973,0,1,1,0,0,0,0,0,0,0
336.145208335093,1,0,0,0,0,0,0,0,0,0
336.239137894681,0,0,1,0,0,0,0,0,0,0
337.020135431421,1,1,0,0,1,0,0,0,0,1
337.056543872599,1,1,1,1,1,1,1,0,1,1
337.132614990239,0,0,0,0,0,0,0,0,1,1
337.143151696022,1,0,0,0,0,0,0,0,0,0
337.184266280886,0,0,0,0,0,0,0,1,1,0
338.033972576206,0,0,0,0,0,1,0,0,0,0
338.088107656659,1,0,0,0,0,0,0,0,1,0
338.148773626018,1,1,0,0,1,0,0,0,0,1
339.035826927654,1,1,1,1,1,1,1,0,1,1
339.059854857755,1,0,0,0,0,0,0,0,0,0
339.217828048434,0,0,0,1,0,0,0,0,0,0
340.197706101679,0,0,0,0,1,0,0,0,0,0
340.224231113601,1,0,0,0,0,0,0,0,0,0
341.040987656425,1,0,0,0,0,0,0,0,0,0
341.051432806298,1,1,1,1,1,1,1,1,1,1
341.067488290948,0,1,0,0,1,0,0,0,0,1
341.067690007595,0,0,0,0,0,0,0,1,0,0
341.146683186359,0,0,0,0,0,1,0,0,0,0
341.182994097531,1,1,0,0,1,1,0,1,0,0
342.167025057996,1,1,1,0,1,1,1,1,1,1
342.239775936764,1,0,0,0,1,0,0,0,0,0
343.030698713285,0,0,0,0,1,0,0,0,0,0
343.045930973354,1,0,0,0,0,1,0,0,0,0
343.057213443086,1,0,0,0,0,0,0,1,0,0
343.058965226189,0,0,0,0,1,0,0,0,0,0
343.080121250137,0,0,0,0,0,0,0,0,0,1
343.082325259695,1,1,0,0,0,0,0,0,0,0
343.116453535533,0,0,0,0,0,1,1,0,0,1
343.118642673311,0,1,1,0,1,1,1,0,0,0
343.151069780828,0,0,0,0,0,1,0,0,0,0
343.158478469459,1,0,0,0,0,0,0,1,0,0
343.198703463502,1,1,0,0,1,0,0,0,1,1
344.041244499855,1,0,0,0,0,0,0,0,0,0
344.14636642831,1,0,1,0,0,1,0,1,1,1
344.18266441874,1,1,1,0,1,1,1,1,1,1
344.207987724798,0,1,0,0,0,0,0,0,0,0
344.219102041571,1,1,0,0,1,1,0,0,0,0
345.025178166361,1,1,0,0,0,1,0,0,0,0
345.025953410679,0,0,0,0,0,0,1,0,0,0
345.046318715642,1,1,1,0,0,1,0,0,1,0
345.061609991528,1,1,1,1,1,1,0,0,1,1
345.06497580668,0,1,0,0,0,0,0,0,0,0
345.067899908959,0,1,1,0,0,0,0,1,1,0
345.095728379067,0,0,0,0,0,0,1,0,0,0
345.097937172215,1,1,1,0,1,0,0,0,1,1
345.134332592676,1,1,1,0,1,1,1,1,1,1
345.170766400863,1,1,1,0,1,1,0,1,0,1
345.177965934384,1,1,0,0,1,1,1,1,0,1
345.974933798153,0,1,1,1,1,0,1,0,1,1
346.129656277594,1,0,0,0,0,0,0,0,0,0
347.004527163191,0,0,0,0,1,0,0,0,0,0
347.04083035272,1,1,1,1,1,1,1,1,1,1
347.077228409431,1,1,1,0,1,1,1,0,1,1
347.080583482789,0,1,0,0,0,0,0,0,0,0
347.113629831415,1,1,1,0,1,1,1,0,1,1
347.149943444748,1,1,1,0,1,1,0,0,1,1
347.165303830312,1,0,0,0,0,0,0,1,0,0
349.020115304537,1,1,0,0,0,0,0,0,0,0
349.056496668412,1,1,1,1,1,1,1,0,1,1
349.092918031447,1,1,1,1,1,1,1,0,1,1
349.169023346464,0,0,0,1,0,0,0,0,0,0
350.088142822738,0,0,0,0,0,0,0,0,0,1
350.135687001706,1,0,0,0,1,0,0,1,0,0
350.148778542692,1,0,0,0,0,1,0,0,0,0
350.185143712163,1,1,0,0,1,1,0,0,1,1
351.035766012244,1,1,1,0,1,1,0,1,1,1
351.072138333567,1,1,1,1,1,1,1,1,1,1
351.108582655515,1,1,1,1,1,1,1,1,1,1
352.103742233992,1,1,0,0,1,1,0,1,0,0
352.164383941218,1,0,0,0,1,1,1,0,0,1
353.049035877635,0,0,0,0,1,0,0,0,0,0
353.05141925999,1,1,1,0,1,1,1,1,1,1
353.215649900355,0,1,0,0,1,0,0,1,0,0
354.143725584181,1,0,0,0,0,0,0,0,0,0
355.030627188011,1,1,1,0,1,0,0,0,1,1
355.045885027271,0,1,0,0,0,0,0,0,0,0
355.056574906363,0,0,0,0,0,0,1,0,0,0
355.087051654202,0,0,0,0,0,0,1,0,0,0
355.095337681225,0,1,0,0,0,1,0,0,0,1
355.158410308014,1,0,0,0,0,0,0,0,0,0
355.198692884725,1,0,0,0,1,1,0,0,0,0
355.321841099963,1,0,1,0,0,1,0,0,0,0
356.146263014319,1,0,0,0,0,0,0,0,0,0
356.182767131936,1,1,1,0,1,1,1,1,1,1
356.97443098351,0,0,0,0,1,0,0,0,0,0
357.025157978381,0,0,0,0,0,0,0,0,1,0
357.046380027556,1,1,1,0,1,1,0,0,1,1
357.061639132,0,1,0,0,1,1,0,0,0,1
357.074642866779,0,0,0,0,0,0,0,0,1,1
357.095758160634,0,0,1,1,0,1,0,0,0,1
357.097951583257,0,0,0,0,1,0,0,0,0,0
357.130345430164,1,0,1,0,0,1,0,0,0,0
357.166723511658,0,0,0,0,0,1,0,0,0,0
357.174148969742,1,0,0,0,0,0,0,1,0,0
357.177992381336,1,0,0,0,0,0,0,0,0,0
357.214251336409,1,1,0,0,1,1,1,1,0,0
358.125617187983,0,0,0,0,0,1,0,0,0,0
358.161907803111,1,0,0,0,0,1,0,0,0,1
358.198353257738,1,1,1,0,1,1,1,1,1,1
358.993060308094,0,0,0,0,0,0,0,0,0,1
359.040827605703,1,0,0,0,0,1,0,0,0,1
359.04417897517,0,1,0,0,0,0,0,0,0,1
359.053861397628,1,0,0,0,0,0,0,0,1,1
359.061939001258,1,1,0,0,1,1,1,0,1,1
359.075015225637,1,1,0,0,1,0,1,0,0,0
359.077232277101,1,1,0,0,1,1,0,0,1,1
359.083469665682,0,0,1,0,0,0,0,0,0,0
359.111377458472,0,0,1,0,0,1,1,0,0,0
359.113577261528,0,1,1,0,1,1,1,0,1,1
359.150035089665,0,1,1,0,0,0,0,0,1,1
359.157228437746,1,1,1,0,0,1,0,1,1,1
