,ECA2_0019_01.a_p1,ECA2_0019_02.a_p1,ECA2_0019_04.a_p1,ECA2_0019_05.a_p1,ECA2_0019_07.a_p1,ECA2_0019_08.a_p1,ECA2_0019_09.a_p1,ECA2_0019_10.a_p1
309.02518522443,1,0,1,1,1,1,1,0
309.109211875195,0,0,1,1,0,0,0,0
311.040842997254,1,0,1,1,1,1,1,1
311.068912474774,1,0,0,0,0,0,0,0
313.0208349749,0,0,0,0,0,0,1,0
313.056500859105,1,1,1,1,0,1,1,1
314.051789564094,0,0,0,0,0,1,0,0
314.172095976387,0,1,0,1,1,0,1,1
314.208478741839,1,0,1,0,0,1,0,0
315.014674019742,0,0,0,0,0,0,0,1
315.035765556434,0,0,1,0,0,1,0,0
315.051086379127,0,0,0,0,1,0,0,0
315.167365960132,1,0,1,0,1,0,0,1
316.151388768487,1,1,1,1,1,1,1,1
316.187805194354,1,1,1,0,1,1,0,1
316.993871388018,0,0,1,0,0,0,0,0
317.030261218142,0,0,0,0,1,1,0,0
317.051456086289,1,0,1,1,0,0,0,0
317.066687796083,0,0,1,0,0,0,0,0
317.088559715049,0,0,0,1,0,0,1,0
317.099069346302,0,0,0,0,0,0,0,1
317.103096216893,0,1,0,0,0,0,0,0
317.175811803526,0,1,0,0,0,0,0,0
317.233373541543,0,1,0,0,0,1,1,0
318.167103725047,0,0,0,0,1,0,0,1
319.045941232075,1,0,1,0,1,0,0,0
319.082295876229,0,0,1,0,0,1,0,0
319.085647606549,0,0,0,1,1,0,1,1
319.118690232607,1,1,0,0,0,0,0,0
321.025154726554,0,0,0,1,1,1,1,0
321.061551978378,1,1,1,0,1,1,0,1
321.097982635803,1,1,1,0,0,1,0,1
321.137756545737,0,1,0,0,0,0,0,0
321.141275507119,1,0,0,0,0,0,0,0
322.187167160996,1,1,1,1,1,1,1,1
323.004428911665,0,0,0,0,1,1,0,0
323.040869446973,1,1,1,1,0,1,1,0
323.125877906431,0,0,0,0,1,0,0,0
323.134729600681,0,0,0,0,0,0,1,0
323.16866461507,0,0,0,0,0,1,0,0
324.01084030851,1,0,0,0,0,0,0,0
324.133154679663,1,0,0,0,1,0,0,0
325.020080061909,0,0,1,0,0,1,0,0
325.056517335562,1,0,1,1,1,1,1,1
326.000686813379,0,0,0,0,1,0,0,0
327.035717224585,1,0,1,1,1,1,1,1
327.188493868284,0,0,0,0,0,1,0,0
328.080161016708,0,0,0,0,0,1,0,0
328.151343467021,0,0,0,0,1,0,0,0
328.187775460719,1,1,1,1,0,0,1,1
328.215864654096,0,0,0,0,0,0,0,1
329.051455290203,1,0,1,1,0,1,0,1
329.079723149283,0,0,0,0,0,1,0,0
329.139390121741,0,0,1,0,0,0,0,0
329.145797849589,0,0,0,0,0,0,0,1
329.18298747086,1,0,1,0,1,0,0,0
330.167007082931,1,1,1,1,1,1,1,1
330.203459960572,1,1,1,0,1,1,1,1
330.922483564988,1,0,0,1,1,0,1,1
331.009541385231,0,0,0,0,0,1,0,0
331.04599443956,0,0,0,0,1,1,0,0
331.082339553397,1,0,0,0,0,0,0,0
331.11864424628,0,0,0,0,0,1,0,0
331.155074665797,0,1,0,0,0,0,0,0
332.077523369263,0,0,0,0,0,0,1,0
332.146372028282,0,0,0,0,1,0,0,1
332.182676902198,1,0,0,0,0,0,0,0
333.025203537804,1,0,1,1,1,1,0,0
333.061621279429,1,0,0,0,1,0,0,0
333.13431589464,0,1,1,0,0,1,0,0
333.207151807676,1,0,1,1,0,1,0,0
334.153882301157,0,0,0,0,0,0,1,0
334.177230942595,1,0,0,0,0,0,0,0
335.039452128724,0,1,0,0,0,0,0,0
335.040827177713,1,1,1,1,1,1,0,1
335.066747257496,0,0,0,0,0,0,0,1
335.077281643427,1,0,1,1,0,1,0,0
336.028701162973,0,0,1,0,0,0,0,0
336.181710974083,0,0,0,0,0,1,0,0
336.996777751774,1,0,0,0,0,0,0,0
337.020135431421,0,0,1,1,0,1,0,0
337.056543872599,1,1,1,1,1,1,1,0
337.126873070649,1,0,0,0,0,0,0,0
337.184266280886,0,0,0,0,0,1,0,0
337.193928001706,0,0,0,0,0,1,0,0
338.148773626018,1,1,0,0,0,0,0,0
339.035826927654,1,1,1,1,0,1,1,1
340.073865957417,0,0,0,0,0,0,1,0
340.197706101679,0,0,0,0,0,0,1,0
340.224231113601,0,0,0,0,0,0,0,1
341.014976956191,0,0,1,0,1,1,0,0
341.030286778022,1,1,1,0,1,1,1,1
341.037366530742,0,0,0,0,0,1,0,0
341.051432806298,1,1,1,1,1,1,1,1
341.067488290948,0,0,0,1,0,0,1,0
341.079710504834,0,0,0,0,0,1,0,0
341.091157142191,0,1,0,0,0,0,0,0
342.167025057996,0,1,0,1,1,1,1,1
342.239775936764,0,0,0,0,0,1,0,0
342.973661299952,0,0,0,0,0,0,1,0
343.030698713285,0,0,0,1,0,1,0,0
343.034538424834,0,0,0,0,0,1,0,0
343.036932418698,0,0,0,0,0,1,0,0
343.045930973354,0,0,0,0,0,1,0,0
343.116453535533,0,0,0,0,0,0,1,0
343.165714993426,0,0,0,0,0,1,0,0
343.198703463502,0,1,0,0,0,1,0,1
344.18266441874,1,1,1,1,1,1,1,1
344.219102041571,1,1,0,0,0,1,0,0
345.025178166361,0,0,0,0,0,1,0,0
345.046318715642,0,0,1,1,0,0,0,0
345.061609991528,1,0,0,0,0,0,0,0
345.072947888342,0,0,0,0,1,0,1,0
345.1092627899,0,0,0,0,0,0,1,0
345.134332592676,0,1,1,0,0,0,0,0
345.162782047817,0,0,0,0,0,1,0,0
345.177965934384,1,1,1,1,1,1,1,1
345.256530360054,0,1,0,0,0,0,0,0
345.264591390898,0,0,0,0,1,0,0,0
345.974933798153,1,1,0,0,0,1,0,0
347.004527163191,0,0,0,0,0,1,0,0
347.04083035272,1,1,1,0,1,1,0,0
347.077228409431,1,1,1,1,0,1,0,1
347.113629831415,1,1,1,0,1,1,1,0
347.149943444748,1,0,1,0,0,0,0,0
348.269094326753,0,0,0,0,0,0,0,1
349.020115304537,0,0,1,1,0,1,0,1
349.056496668412,1,0,1,1,1,0,1,1
349.092918031447,1,1,1,1,0,1,1,0
349.186965102253,0,0,1,0,0,0,0,0
350.088142822738,0,1,0,0,0,0,0,0
350.135687001706,0,0,0,0,0,1,0,0
350.185143712163,1,1,1,0,1,1,0,1
351.035766012244,1,1,1,1,0,1,1,0
351.054289053487,0,1,0,0,0,0,0,0
351.057752677272,0,1,0,0,0,0,0,0
351.072138333567,1,1,1,1,1,1,1,1
351.108582655515,1,1,1,1,1,1,1,1
351.119883482489,0,1,0,0,0,0,0,0
352.103742233992,1,1,0,0,1,0,0,0
352.164383941218,0,1,1,0,0,0,0,1
353.014935493477,0,0,0,0,1,1,0,0
353.049035877635,0,1,0,0,0,1,0,0
353.05141925999,1,1,1,1,1,1,1,0
353.085440918198,0,0,0,0,0,0,0,1
353.215649900355,0,0,0,0,0,1,0,0
355.030627188011,1,0,1,1,1,1,0,0
355.095337681225,1,1,0,0,0,0,0,0
355.109944498164,1,0,1,0,0,0,0,0
355.16811528018,0,0,0,0,0,1,0,0
355.198692884725,0,1,0,0,0,0,0,0
356.182767131936,0,0,0,0,1,1,1,0
