,ECA2_0043_01.a_p1,ECA2_0043_02.a_p1,ECA2_0043_03.a_p1,ECA2_0043_04.a_p1,ECA2_0043_05.a_p1,ECA2_0043_06.b_p1,ECA2_0043_07.a_p1,ECA2_0043_08.a_p1,ECA2_0043_09.a_p1,ECA2_0043_10.a_p1
247.024814295629,1,0,1,0,0,0,0,0,0,0
247.037732583906,0,0,0,0,1,0,0,0,0,0
247.06117641442,1,1,1,1,0,1,0,0,0,0
247.097606587005,0,0,1,0,0,0,0,0,0,0
249.040467863897,1,1,1,1,0,0,1,1,1,0
249.076889830027,1,1,1,0,0,1,1,0,1,0
249.113254751525,0,0,0,1,0,1,1,0,0,0
249.186028054309,0,0,0,0,0,1,1,0,0,0
250.03573245118,0,0,1,0,0,0,0,0,0,0
251.01976940635,1,1,1,0,0,0,0,0,1,1
251.056133941414,1,1,1,1,1,1,1,1,1,1
251.07859958616,0,0,0,0,1,0,0,1,1,0
251.092496275315,1,1,1,1,0,1,1,1,1,1
253.03538516246,1,1,1,0,0,0,1,1,1,1
254.067040616627,0,0,1,0,0,0,1,0,0,0
254.103384701641,0,0,0,1,0,0,1,0,1,0
255.056281809468,0,0,1,0,0,0,0,0,0,0
255.066322802143,0,1,0,0,0,0,0,1,0,0
256.046262514969,0,0,1,0,0,0,0,0,1,0
256.119099862981,1,0,0,0,0,0,0,0,0,0
257.016385671314,1,0,0,0,0,0,0,0,0,0
257.030318065288,0,0,1,0,0,0,0,0,0,1
257.048912729196,0,1,1,1,0,0,0,0,1,0
257.056759313636,0,0,0,0,0,0,0,0,1,0
257.088176261229,0,0,0,0,0,0,0,0,1,0
257.114316207114,0,0,0,0,0,0,0,0,0,1
258.09835108965,0,0,1,0,1,0,0,1,1,0
258.991770986541,0,1,0,0,0,0,0,0,0,0
259.024846541681,0,0,0,1,0,0,0,0,0,0
259.028223572559,0,0,1,0,0,0,0,0,0,0
259.061211474333,1,1,1,1,0,0,0,0,0,0
259.129974451967,1,0,0,1,0,0,0,0,0,1
261.040499747034,1,1,0,1,1,0,1,0,0,0
261.076848305366,1,0,0,0,0,0,0,0,0,0
261.955591546,1,1,1,1,1,1,0,1,0,1
262.986734433784,0,1,0,0,0,0,0,0,0,0
263.019720608659,1,0,0,0,0,0,0,1,0,0
263.056162162984,1,1,1,1,1,1,1,0,1,1
263.092501343246,1,0,1,1,1,1,1,0,1,1
263.11835831857,0,0,0,0,0,1,0,0,0,0
263.128918628623,0,0,0,0,1,0,1,0,0,0
263.165265369389,0,0,1,0,0,1,0,0,0,0
264.051354076773,0,0,1,0,0,0,0,0,0,0
264.087775574999,0,0,1,0,0,0,0,0,0,0
265.035416012644,1,1,1,1,0,0,1,1,1,1
265.07175654152,1,1,1,1,1,1,1,1,1,1
265.108161078953,1,1,1,1,1,1,1,1,1,1
266.067038262927,0,0,0,0,0,0,1,0,0,0
266.089479883299,0,0,0,0,0,1,0,0,0,0
266.994272940638,0,1,1,1,1,1,1,0,0,0
267.051013014992,1,1,1,1,1,1,1,1,1,1
267.073503387235,1,1,1,1,1,1,1,1,1,1
268.119077504898,0,0,1,0,0,1,0,0,0,0
269.030335719134,1,1,1,1,0,0,1,0,1,1
269.04554913076,1,1,1,1,1,1,0,1,0,0
269.077814546662,0,0,0,0,0,0,0,0,1,0
269.081964016592,1,0,0,0,0,0,0,0,0,0
269.212206948243,0,0,0,0,1,1,1,0,0,0
269.248660992863,0,0,0,0,0,0,1,0,0,0
270.061980946967,0,1,1,1,0,1,1,1,0,1
271.061192022869,1,1,1,1,1,1,0,1,0,0
271.093572437621,0,0,0,0,0,0,0,0,1,0
271.097607674438,1,0,0,0,0,0,0,0,0,0
272.259542615135,0,0,0,0,0,1,1,0,0,0
273.040493461949,1,0,1,1,0,0,0,0,0,0
273.076885700268,0,1,0,1,0,0,1,1,0,0
273.113219930208,0,0,0,0,0,1,0,0,0,0
273.145567033916,0,1,0,0,0,0,0,0,0,0
274.039121654972,1,0,0,0,0,0,0,0,0,0
275.019686012876,0,1,1,0,0,0,0,0,0,0
275.040884998183,1,0,1,0,0,0,0,0,0,1
275.056123708709,1,0,1,1,1,0,1,0,1,1
275.092536767002,1,1,1,0,0,1,1,1,0,0
275.128896904455,0,0,0,0,0,0,0,0,1,0
276.051339589193,0,0,1,0,0,0,0,0,0,0
277.002359742066,0,1,0,0,0,0,0,0,0,0
277.035388091511,1,1,1,1,0,0,1,1,1,1
277.059631820522,1,1,1,1,1,1,1,1,1,1
277.071780747801,1,1,1,1,1,1,1,1,1,1
277.108133008574,1,1,1,1,1,1,1,0,1,1
278.030586006734,0,0,1,0,0,0,0,0,0,0
278.067013845785,1,1,0,0,0,0,0,0,0,0
279.014622292583,1,1,1,1,0,0,0,1,1,1
279.05103605999,1,1,1,1,1,1,1,1,1,1
279.196557925851,0,0,0,0,0,1,1,0,0,0
280.046300276918,1,0,0,0,0,0,0,0,0,0
280.082702213768,1,1,1,0,0,1,1,1,1,0
280.096491862056,1,0,0,0,0,0,0,0,0,0
281.030306431672,1,1,1,1,1,0,1,0,1,1
281.077870250365,0,0,0,0,1,0,0,0,0,0
281.248611748241,0,0,0,0,1,1,1,0,0,0
282.061888615183,1,1,1,0,0,0,1,0,1,1
282.084373284142,1,0,0,0,1,1,0,0,0,0
283.04595745831,1,1,1,1,1,1,1,1,1,1
283.137346800078,0,0,1,1,0,1,0,0,0,0
285.040424086902,1,1,1,1,0,0,0,0,0,0
285.076811975257,0,1,0,0,0,0,0,0,0,0
287.040868822099,1,1,1,1,0,0,1,1,1,1
287.055215643865,0,0,0,0,1,0,0,1,0,0
287.056056994507,1,0,0,1,0,0,0,0,0,0
287.124855166614,0,0,0,0,0,1,0,0,0,0
287.128880508999,0,0,0,0,0,0,1,0,0,0
288.087786851424,1,0,0,0,0,1,0,0,0,0
289.035335238622,1,1,1,0,0,0,0,1,1,1
289.071733504922,1,0,1,1,0,0,0,0,1,0
289.108143001339,1,1,0,1,1,0,1,0,0,1
289.144556135556,0,0,0,0,0,1,0,0,0,0
290.066981944182,1,0,0,0,0,0,0,0,0,0
291.014598605754,1,1,1,0,0,0,1,0,0,0
291.031255819714,1,0,1,0,0,0,0,0,0,1
291.050985782488,1,1,1,1,1,0,1,1,1,1
291.196548780538,0,0,0,0,0,1,0,0,0,0
292.046219924199,0,0,0,0,0,0,0,1,1,0
292.082602143204,0,0,1,1,0,1,0,0,1,0
292.118996995163,0,0,0,0,1,0,0,0,0,0
292.942685254393,0,0,0,0,0,0,0,0,0,1
293.030316334653,1,1,1,1,1,0,1,1,1,1
293.066707280246,1,1,1,1,1,1,1,1,1,1
293.212208631265,0,0,0,0,1,0,0,0,0,0
294.061871238235,1,1,0,0,0,0,0,0,0,0
294.134611046769,1,0,0,0,0,0,0,0,0,0
295.00951132373,1,0,1,0,0,0,0,1,0,1
295.04590311567,1,1,1,1,1,1,1,1,1,1
295.093548011142,0,1,0,0,0,0,0,0,0,0
295.137369757887,0,0,0,0,1,0,0,0,0,0
295.19144189826,0,0,0,0,1,0,0,0,0,0
295.227829671269,0,0,0,0,1,0,0,0,0,0
296.150242341992,0,0,1,0,0,0,0,0,0,0
297.025193164039,1,0,1,1,0,0,0,1,1,1
297.047142321961,0,0,0,0,1,1,1,0,0,0
297.076858374725,0,0,1,0,0,0,0,0,0,0
297.119463403547,0,1,0,0,0,0,0,0,0,0
297.158356173741,0,0,0,0,0,1,0,0,0,0
297.243503391361,0,0,0,0,1,0,0,0,0,0
299.026397560729,0,0,0,0,0,1,0,0,0,0
299.040885905944,1,1,1,1,0,1,1,1,1,1
299.056107822858,1,1,1,1,1,0,0,1,0,0
299.088512075541,0,0,1,0,0,1,1,0,0,0
299.092465654528,1,0,0,0,0,1,0,1,0,0
299.154656437495,0,1,0,0,0,0,0,0,0,0
299.20165163915,0,0,0,0,0,0,1,0,0,0
300.072452790186,1,1,1,1,0,1,1,1,1,1
301.035341309197,0,1,1,0,1,0,1,0,0,0
301.071730761426,1,1,1,0,0,0,0,0,1,0
301.084785218452,0,1,1,1,1,1,1,0,1,0
303.014615944586,0,1,0,0,0,0,0,0,0,0
303.051014761484,0,1,1,0,0,0,0,0,0,0
303.082618917184,0,0,0,0,1,0,0,0,0,0
303.087420249974,1,1,0,1,0,1,0,0,1,0
303.098587273424,0,1,0,0,0,0,0,0,0,0
303.12381011849,0,0,0,0,0,0,1,0,0,1
303.217659936381,0,0,0,0,1,1,0,0,0,0
304.00254759048,0,0,0,1,1,1,1,0,0,0
304.03106742621,0,1,1,0,0,0,0,0,0,0
304.046306619031,0,0,1,0,0,0,0,0,0,0
305.030274203965,1,1,1,1,0,0,0,1,1,1
305.051456337637,0,0,0,0,0,0,0,1,0,0
305.066654821895,1,1,1,1,1,0,1,1,1,1
305.070009125444,1,1,0,0,1,0,1,1,0,0
305.103064603926,1,1,1,1,1,1,1,1,1,1
305.106420819019,0,0,0,0,0,1,0,0,0,0
305.139456921456,1,0,1,1,0,1,1,0,0,0
305.175849498487,0,0,0,0,0,1,1,0,0,1
307.009519970076,1,0,1,0,0,0,0,0,0,1
307.026168289049,0,0,1,1,0,0,0,1,1,1
307.045927506599,1,1,1,1,1,0,1,1,1,1
307.093533716191,0,0,1,0,0,0,0,0,0,0
308.077605234938,1,1,1,1,0,1,1,1,0,1
309.02518522443,1,1,1,1,0,0,1,1,1,1
309.073808485344,1,0,0,0,0,0,0,0,0,0
309.101372678021,0,1,0,0,1,0,0,0,0,1
309.109211875195,0,0,1,1,0,0,1,0,1,0
310.056812798433,1,1,1,0,0,0,0,0,1,0
310.968991932564,0,0,0,0,0,1,0,0,0,0
311.040842997254,1,1,1,1,1,1,1,1,1,1
311.088446843845,1,0,0,0,0,0,0,0,0,1
311.099224392582,0,0,0,0,0,1,0,0,0,0
311.13223291676,0,0,0,0,0,1,0,0,0,0
312.05121778201,0,0,1,0,0,0,0,0,0,0
312.072550046252,1,1,1,1,0,1,1,1,1,1
313.042159861833,0,0,0,0,0,1,0,0,0,0
313.046082314169,0,0,0,1,0,0,0,0,0,0
313.056500859105,1,1,1,1,1,1,1,1,1,1
313.071784263219,0,1,0,1,0,0,0,1,0,0
313.078509429947,1,0,1,1,1,1,1,0,0,0
313.104086879243,0,0,0,0,0,0,1,1,0,0
313.172915189152,0,0,1,0,1,1,0,0,0,0
315.035765556434,1,0,1,0,0,0,0,0,1,1
315.051086379127,1,1,1,1,0,0,0,0,0,0
315.087459716489,0,1,1,0,0,0,0,0,1,0
315.107658903691,0,0,0,0,1,0,0,0,0,0
315.123794914824,1,0,1,0,0,0,0,0,0,0
315.131018147193,0,0,0,0,0,0,0,1,0,0
315.16014911369,0,0,1,0,0,0,0,0,0,0
315.211236982389,0,0,0,0,0,1,0,0,0,0
316.046359633272,0,0,1,0,0,0,0,0,0,0
316.067365306295,1,0,0,1,0,0,0,1,1,1
316.114988210583,1,0,0,0,0,0,0,0,0,0
317.030261218142,1,0,1,1,0,0,0,0,0,1
317.051456086289,1,1,1,1,0,1,1,1,1,1
317.066687796083,1,1,1,1,1,1,1,0,1,1
317.084558338142,0,0,0,0,0,0,1,0,0,0
317.099069346302,1,0,0,0,0,0,0,0,0,0
317.103096216893,1,0,1,0,1,1,1,0,0,0
317.190582887305,0,0,0,0,0,1,0,0,0,0
318.999154880455,0,0,0,0,0,0,0,0,1,0
319.000639036462,1,0,0,0,0,0,0,0,0,0
319.009596531152,0,0,1,0,0,0,0,0,0,0
319.045941232075,1,1,1,1,0,1,1,0,1,1
319.082295876229,1,1,1,1,1,1,1,0,1,1
319.085647606549,0,1,0,1,0,1,0,0,0,0
319.118690232607,1,1,1,1,1,1,1,1,1,1
319.19154797824,0,0,0,0,1,1,0,0,0,0
320.062462770473,1,0,0,0,0,0,0,0,0,0
320.07753794792,0,1,1,0,0,0,0,0,0,0
320.11394026198,1,0,1,0,0,0,0,0,1,0
321.025154726554,1,1,1,1,0,0,0,1,0,1
321.061551978378,1,1,0,1,1,1,1,1,1,1
321.097982635803,1,1,1,1,1,1,1,1,1,1
321.101343113687,1,0,0,0,0,1,0,0,0,0
322.09321764639,1,0,0,1,0,0,1,0,1,1
323.040869446973,1,1,1,1,1,0,1,1,1,1
323.16866461507,0,0,1,1,1,1,1,0,0,1
324.072481239561,1,1,1,1,0,0,1,0,1,1
325.020080061909,0,1,1,0,0,0,0,0,0,0
325.056517335562,1,1,1,1,1,1,1,1,1,1
325.104151262263,1,0,0,0,0,0,0,0,0,0
325.147929172056,0,0,0,0,0,1,0,0,0,0
326.051772671994,0,0,0,0,0,0,0,1,1,0
326.19737372811,0,0,0,0,0,1,0,0,0,0
326.927586676819,0,0,0,0,1,0,0,0,0,0
327.035717224585,1,1,1,1,0,1,1,1,1,1
327.051027975317,1,0,1,1,0,0,0,0,0,0
327.075474000955,0,1,0,0,0,0,0,0,0,0
327.083284359005,0,0,1,1,0,0,0,0,0,0
327.087345024074,1,1,1,1,1,1,1,1,0,1
327.119760814247,0,0,1,0,0,0,1,0,0,0
327.188493868284,0,0,1,0,1,1,0,0,0,0
328.067429962418,0,0,1,1,0,0,1,1,1,1
329.030222012527,1,1,1,0,0,0,0,0,0,0
329.051455290203,1,1,1,1,1,1,1,1,1,1
329.065858744597,0,1,0,0,0,0,0,0,0,0
329.066687502906,1,1,1,1,0,0,0,1,0,1
329.079723149283,1,0,1,1,0,0,1,0,1,1
329.122998845277,0,0,0,0,0,0,1,0,0,0
329.135401944922,0,0,0,0,0,0,0,0,0,1
329.139390121741,1,0,1,1,1,0,1,0,0,0
329.145797849589,0,1,0,0,0,0,0,0,0,0
329.24862576893,0,1,1,0,1,0,1,0,0,1
330.074878196641,0,0,0,0,0,0,0,0,1,0
330.922483564988,0,1,0,0,0,0,0,0,0,0
331.009541385231,0,0,1,0,0,0,0,0,0,0
331.04599443956,1,1,1,0,1,0,0,0,1,1
331.070923540927,0,1,0,0,0,0,0,0,0,0
331.073339537056,0,1,0,0,0,0,0,0,0,0
331.082339553397,1,1,1,1,1,0,1,0,0,1
331.11864424628,1,1,1,1,1,1,1,1,1,0
331.142802204996,1,0,0,0,0,0,0,0,0,0
331.155074665797,0,1,1,0,0,0,1,0,0,1
331.19150873051,0,0,0,0,1,1,1,0,0,0
332.077523369263,0,0,0,0,0,0,0,0,1,0
333.025203537804,1,1,1,0,0,0,1,0,1,1
333.061621279429,1,1,1,1,1,1,1,1,1,1
333.13431589464,1,1,1,1,1,1,1,1,1,1
333.207151807676,0,0,0,0,1,1,0,0,0,0
334.056816773761,0,0,1,0,0,0,0,0,0,0
334.129606978525,0,0,0,0,0,1,0,0,0,1
334.223493066238,1,0,0,0,0,0,0,0,0,0
335.00305254878,1,0,0,0,0,0,0,0,0,1
335.004429898644,0,1,0,0,0,0,0,0,0,0
335.02317182273,0,1,0,0,0,0,0,0,0,0
335.026230450142,0,0,0,0,0,1,0,0,0,0
335.039452128724,1,0,1,1,0,0,0,0,0,0
335.040827177713,1,1,1,1,1,0,1,1,1,1
335.077281643427,1,1,1,1,1,1,1,1,1,1
335.080652250365,0,0,0,0,0,1,0,0,0,0
335.088508902396,1,1,0,0,0,0,0,0,0,0
335.125024113338,0,0,0,0,0,0,0,0,1,0
336.028701162973,0,0,0,1,0,1,1,0,0,0
336.036019577986,0,1,1,0,0,0,0,0,0,0
336.072516720963,1,1,0,0,0,0,1,0,1,0
336.145208335093,1,0,0,0,0,1,0,0,0,1
336.239137894681,1,0,0,0,0,0,0,0,0,0
336.327241226632,0,0,0,0,0,1,0,0,0,0
337.020135431421,1,1,1,0,0,0,0,0,1,1
337.038818719457,1,1,0,0,0,0,0,0,0,0
337.056543872599,1,1,1,1,1,1,1,1,1,1
337.104167557921,1,0,1,0,0,0,0,0,1,0
337.184266280886,0,0,1,0,1,1,1,0,0,0
338.051699341556,0,0,0,0,0,0,1,0,0,1
338.088107656659,1,1,1,1,0,0,1,1,1,1
339.035826927654,1,1,1,1,0,1,1,1,1,1
339.064012838616,0,1,0,0,0,0,0,0,0,0
339.083433261328,1,0,0,0,0,0,0,1,1,0
339.119734473941,0,1,0,0,0,0,0,0,1,0
339.185963630266,0,0,0,0,0,1,1,0,0,0
341.040987656425,0,1,0,1,0,0,1,0,0,0
341.051432806298,1,1,1,1,1,1,1,1,1,1
341.064382111794,0,0,0,0,0,0,0,1,0,0
341.079710504834,0,0,0,1,0,0,0,0,0,0
341.085458656289,0,0,0,0,0,1,0,0,0,0
341.099067967905,0,0,0,1,0,1,1,1,0,0
341.10307484656,0,1,0,1,0,0,0,0,0,0
341.116083556712,0,1,1,0,0,1,1,0,1,1
343.030698713285,0,0,1,0,0,0,0,1,0,0
343.045930973354,0,1,1,0,0,0,0,0,1,0
343.082325259695,0,1,1,0,1,0,0,0,0,0
343.114637564607,1,1,0,1,0,0,0,1,1,0
343.118642673311,0,1,0,1,0,0,1,0,0,0
343.158478469459,0,0,0,0,0,1,0,0,0,0
344.077515259145,1,0,0,0,0,0,0,0,0,0
344.272547273498,0,0,0,1,0,0,0,0,0,0
345.025178166361,1,1,1,0,0,0,0,0,1,1
345.046318715642,1,1,1,0,0,0,0,1,1,1
345.061609991528,1,1,1,0,1,0,1,1,0,1
345.093889617814,0,0,0,0,0,0,0,0,0,1
345.097937172215,1,1,1,1,1,0,1,0,1,1
345.101315019446,0,0,0,0,0,0,0,0,1,0
345.130512051094,1,0,0,0,0,0,0,0,0,0
345.134332592676,1,1,1,1,0,1,1,1,1,1
345.170766400863,1,1,1,1,1,1,1,0,0,0
345.974933798153,0,0,1,1,0,1,0,1,0,0
345.982633428526,0,0,0,0,0,1,0,0,0,0
346.129656277594,0,0,0,0,0,0,1,0,0,0
347.004527163191,0,0,1,0,0,0,0,0,0,0
347.04083035272,1,1,1,1,0,0,1,1,1,1
347.062022130947,0,1,1,1,0,0,1,1,1,1
347.076722044681,0,0,0,0,1,0,0,0,0,0
347.077228409431,1,1,1,1,0,1,1,1,1,1
347.080583482789,0,0,0,1,0,0,0,0,0,0
347.113629831415,1,1,1,1,1,1,1,0,1,1
347.149943444748,1,1,1,1,1,1,1,1,1,1
348.072413958191,0,0,1,0,0,1,0,0,1,0
348.108915300542,0,0,1,1,0,1,1,0,1,0
348.966429440314,0,0,0,0,0,1,0,0,0,0
349.020115304537,1,1,1,0,0,0,0,1,0,0
349.056496668412,0,1,0,0,0,0,1,1,0,0
349.059870966296,0,1,0,0,0,0,0,0,0,0
349.072820082891,0,0,0,1,0,0,0,0,0,0
349.077619349922,0,0,0,0,0,0,1,0,0,1
349.092918031447,1,1,1,1,1,1,1,1,1,1
349.150572205841,0,0,0,0,1,0,0,0,0,0
349.241963914161,1,0,0,0,0,0,0,0,0,0
349.251409982278,0,1,1,0,0,0,0,0,1,0
350.051769709976,0,1,1,0,0,0,1,0,0,1
350.061175348347,0,0,1,0,0,0,0,0,0,0
350.088142822738,1,0,1,0,1,0,1,0,1,1
351.027684690628,0,1,0,0,0,0,0,0,0,0
351.034395775215,1,0,1,0,0,0,0,0,1,1
351.035766012244,1,1,1,1,1,0,1,1,1,1
351.072138333567,1,1,1,1,1,1,1,1,1,1
351.108582655515,1,1,1,1,1,1,1,1,1,1
351.119883482489,0,0,0,0,0,0,1,0,0,0
351.136852424198,0,0,1,0,0,0,0,0,1,0
351.232941514448,0,0,0,0,1,1,1,0,0,0
352.067424420654,1,0,1,0,0,0,0,1,1,1
352.103742233992,1,1,1,1,0,1,1,1,1,1
353.049035877635,1,1,1,1,0,0,0,1,1,1
353.05141925999,1,1,1,1,1,1,1,1,1,1
353.099119056804,0,0,0,0,0,0,1,0,1,0
353.200489008317,0,1,0,0,0,0,0,0,0,0
353.215649900355,1,0,1,0,1,1,1,0,0,0
355.030627188011,0,1,0,0,0,0,0,1,0,0
355.095337681225,1,0,1,0,0,0,0,0,1,0
355.114700038989,0,0,0,0,0,1,0,0,1,0
355.118720427743,0,1,0,0,0,0,0,0,0,0
355.16811528018,0,1,1,1,1,0,1,0,0,0
356.062379115285,0,0,0,0,0,0,0,0,1,0
357.013909120918,0,0,0,0,0,1,0,0,0,0
357.046380027556,1,1,1,1,0,1,1,1,1,1
357.061639132,1,0,1,0,0,0,0,0,0,0
357.074642866779,0,0,0,0,0,0,0,0,1,0
357.093909271367,0,0,0,0,0,0,0,1,0,0
357.097951583257,1,1,0,0,0,0,0,0,0,0
357.214251336409,0,0,0,0,1,1,0,0,0,0
359.040827605703,1,0,1,0,0,0,0,0,0,0
359.061939001258,1,1,1,1,1,1,1,1,1,1
359.077232277101,1,1,1,1,0,0,1,1,1,1
359.109599333159,1,0,0,0,0,0,0,0,0,0
359.113577261528,1,0,1,1,0,1,0,1,1,1
359.150035089665,0,1,0,1,0,1,1,0,0,0
359.186326241786,0,0,0,0,0,0,1,0,0,0
359.990579441568,0,0,1,1,1,1,1,0,0,1
361.020203202757,1,0,1,1,0,0,0,1,0,1
361.0412320211,0,0,0,0,0,0,0,0,1,0
361.048441026851,0,0,1,0,0,0,0,0,0,0
361.056450883082,1,1,1,1,1,0,1,1,1,1
361.092917492873,1,1,1,1,1,0,1,1,1,1
361.096250604741,1,1,1,0,0,0,0,0,1,0
361.129228263743,1,1,1,1,1,1,1,1,1,1
361.165636188115,1,1,1,1,1,1,1,1,1,1
361.202032043186,0,0,0,0,0,0,1,0,0,0
362.088049958924,1,0,0,0,0,0,0,0,0,1
362.124565915271,0,0,0,0,0,1,1,0,0,0
362.164356320107,0,0,1,0,0,0,0,0,0,0
362.982262501075,0,0,0,0,0,1,0,0,0,0
363.03578042413,1,1,1,1,0,0,0,1,1,1
363.039186847982,0,0,1,0,0,0,0,0,0,0
363.072081802094,1,1,1,1,1,1,1,1,1,1
363.075462544939,0,1,0,0,0,0,0,0,0,0
363.083408506467,1,0,0,0,0,0,0,0,0,0
363.106095919108,0,0,0,0,0,1,0,0,0,1
363.10858231203,1,1,1,1,1,1,1,1,1,1
363.11993770068,0,0,0,0,0,0,1,0,1,0
363.232390630248,0,0,0,0,0,1,0,0,0,0
364.067358096948,0,0,1,1,0,0,0,0,0,0
364.070277823938,1,0,1,1,0,0,0,0,0,0
364.10386330536,1,1,1,1,0,0,1,1,1,0
365.051447751813,1,1,1,1,1,1,1,1,1,1
365.054813548728,1,1,1,0,1,1,0,1,0,0
365.077172472673,0,0,0,0,0,0,0,0,0,1
365.085399618155,0,0,0,0,0,0,1,0,0,0
365.087779048533,1,1,1,1,1,1,1,1,1,1
365.099174259668,0,1,1,0,0,0,1,0,1,0
365.135486179102,0,0,0,0,0,0,1,0,0,0
365.233347438082,0,0,0,0,1,1,0,0,0,0
366.04667879371,0,1,1,0,0,0,0,0,0,0
366.049601592309,0,0,1,0,0,0,0,0,0,0
366.083006492122,1,0,1,1,0,0,1,0,1,1
367.029280400029,1,0,1,1,0,0,0,1,1,0
367.030630584968,0,1,1,0,0,0,0,1,1,1
367.040348066294,0,1,0,0,0,0,0,0,0,0
367.049262419492,1,1,0,0,0,0,0,0,0,0
367.06706934349,1,1,1,1,1,1,1,1,1,1
367.078325988299,1,0,0,0,0,0,0,0,0,0
367.095365337489,1,0,1,0,0,0,0,0,0,0
367.114688294567,1,0,0,0,0,0,1,0,0,0
367.158479928263,0,1,0,0,0,0,0,0,0,0
367.179541074558,1,0,0,0,0,0,0,0,0,0
367.21599116063,1,1,1,1,1,0,0,0,0,0
367.227836742927,0,0,0,1,0,0,1,0,0,0
367.285412134276,0,0,1,0,0,0,0,0,0,0
368.062279069239,1,0,1,0,0,0,1,1,1,0
369.046310964264,1,1,1,1,1,1,0,1,1,1
369.061598175475,0,0,1,0,0,0,0,0,0,0
369.072212276688,0,0,1,0,0,0,0,0,1,0
369.093974377148,0,0,1,0,0,0,0,0,0,0
369.097948752025,1,0,0,0,0,0,0,0,0,0
369.130363322856,0,0,0,0,0,0,0,1,0,0
369.174090217447,0,1,0,0,0,0,0,0,0,0
369.19707160958,0,0,0,0,0,0,0,0,0,1
370.077967055023,1,1,1,1,0,1,1,1,1,1
370.106205880669,0,0,0,0,0,0,0,0,1,0
371.040880248302,0,0,1,0,0,0,0,0,0,0
371.051483688559,1,1,1,0,0,0,0,0,0,1
371.061971237483,1,1,1,1,1,1,1,1,1,1
371.065918039053,0,0,0,0,1,1,0,0,0,0
371.077218054152,1,0,1,0,0,0,0,0,0,0
371.090292370366,1,1,1,1,1,1,1,1,1,0
371.11361936982,0,1,1,0,0,0,0,1,0,0
371.18633871312,0,0,1,0,0,0,0,0,0,0
372.1946637148,0,0,0,0,0,0,0,1,0,0
373.008804599095,0,0,0,0,1,1,0,0,0,0
373.020100526779,1,1,1,0,0,0,0,1,0,0
373.033164057225,0,0,1,0,0,0,0,0,0,0
373.041248932347,0,0,1,0,0,0,1,1,1,1
373.045263043185,0,0,0,0,0,1,0,0,0,0
