,ECA2_0006_01.a_p1,ECA2_0006_02.a_p1,ECA2_0006_03.a_p1,ECA2_0006_04.a_p1,ECA2_0006_05.a_p1,ECA2_0006_06.a_p1,ECA2_0006_07.a_p1,ECA2_0006_09.a_p1,ECA2_0006_10.a_p1
272.044446998934,0,0,0,1,0,0,0,0,0
272.125225391015,0,0,0,0,1,0,1,0,0
272.161546866663,1,0,0,1,1,1,0,1,1
273.004043497475,0,0,0,1,1,1,0,1,0
273.00742260806,0,0,0,1,0,0,1,0,0
273.025225111973,0,0,0,0,1,1,1,1,1
273.040493461949,0,1,0,1,1,1,1,1,1
273.076885700268,0,0,0,1,1,0,0,1,0
273.080235019038,1,1,1,1,1,1,1,1,1
273.109211861709,1,1,0,0,1,0,1,1,1
273.116583921206,0,0,1,0,0,0,0,0,0
274.140843189577,1,1,0,1,0,0,0,0,1
274.97106521367,0,0,0,1,0,0,0,0,0
275.019686012876,1,1,0,1,1,1,1,1,1
275.040884998183,1,0,0,1,1,1,1,1,1
275.056123708709,1,1,0,1,1,1,1,1,1
275.059523164066,1,0,0,0,0,0,0,0,0
275.084268680387,1,0,0,0,0,0,0,0,0
275.092536767002,0,1,0,1,1,1,1,1,1
275.095894541533,1,1,1,1,1,1,1,1,1
275.103723415877,1,0,0,0,1,0,0,0,1
275.128896904455,0,0,0,0,1,0,1,1,0
275.186391735762,0,0,0,0,0,0,0,0,1
276.051339589193,0,0,0,0,1,0,0,0,0
276.99896902096,1,1,0,1,1,1,1,1,1
277.035388091511,1,1,1,1,1,1,1,1,1
277.038794432503,1,0,0,0,1,0,0,0,0
277.050112830188,0,1,0,1,1,1,0,1,1
277.059631820522,1,1,1,1,1,1,1,1,1
277.071780747801,0,0,0,1,1,1,1,1,1
277.075138374456,1,0,1,0,0,0,0,0,0
277.08291887767,0,0,0,0,1,0,0,0,0
277.086336644308,0,0,0,0,1,0,0,0,1
277.108133008574,1,1,0,1,1,1,1,1,1
277.111485347462,1,1,1,1,1,1,1,1,1
277.119380108125,1,1,0,0,0,0,0,0,0
277.155803904556,0,0,0,1,0,0,0,1,0
278.030586006734,0,0,0,0,0,1,0,0,0
278.067013845785,0,0,0,1,1,1,0,0,0
279.014622292583,1,1,1,1,1,1,1,1,1
279.05103605999,1,1,1,1,1,1,1,1,1
279.051960905894,1,1,0,0,0,0,0,0,0
279.054420388945,0,0,1,0,0,0,0,0,0
279.061519343932,1,0,0,1,0,0,1,0,0
279.06634875781,1,1,0,1,1,0,1,1,1
279.072105637589,0,0,0,0,0,0,1,0,0
279.098603709576,1,1,0,1,1,1,1,1,1
279.108530479479,1,0,0,1,0,0,1,0,0
279.127133342822,1,1,0,0,1,0,0,0,0
280.046300276918,0,0,0,0,1,1,1,0,1
280.060083430889,1,1,1,1,1,1,1,1,1
280.068704035316,0,1,0,1,1,0,0,0,1
280.082702213768,0,1,0,0,1,0,0,1,0
280.993914325221,0,1,0,1,1,0,1,1,1
281.030306431672,1,1,1,1,1,1,1,1,1
281.052772041435,0,0,0,1,0,0,0,0,1
281.081940115298,1,0,0,0,1,0,0,0,0
281.121740602362,0,1,0,0,0,0,0,0,0
281.142831239658,1,1,0,0,0,0,1,0,0
281.212198940422,1,0,0,0,0,0,0,0,1
282.039374528758,0,0,0,0,0,0,0,0,1
282.061888615183,1,0,0,0,1,1,0,1,0
282.084373284142,1,1,0,1,0,0,0,0,1
282.145974206723,1,0,0,0,0,0,0,0,0
283.009605343612,1,1,0,1,1,1,1,1,1
283.024772053607,0,0,0,0,0,1,0,0,0
283.04595745831,1,1,1,1,1,1,1,1,1
283.061168520033,0,0,0,0,0,0,0,1,0
283.068429772895,1,1,0,1,1,0,1,0,1
283.100967866495,0,1,0,0,0,0,0,0,0
283.129936152649,1,0,0,0,0,0,0,0,0
283.137346800078,0,1,0,0,0,0,0,1,0
283.227901399487,1,1,0,1,1,1,1,1,1
284.161546932859,1,1,0,1,1,1,1,1,1
285.025195022631,1,1,0,1,1,1,1,1,1
285.040424086902,1,1,0,1,1,1,1,1,1
285.076811975257,0,0,0,1,0,0,0,0,0
285.109173066331,0,0,0,0,0,0,0,0,1
285.109326914647,1,0,0,0,0,0,0,0,0
285.110997560942,0,0,1,0,0,0,0,0,0
285.145553762835,1,1,0,1,1,1,1,0,1
286.104428016397,0,0,0,0,0,0,0,0,1
286.140796057885,1,0,0,0,0,0,0,0,1
286.17717909044,1,1,0,1,1,1,1,1,1
287.019652973634,0,1,0,1,1,1,1,1,1
287.040868822099,1,1,1,1,1,1,1,1,1
287.055215643865,1,1,1,1,1,0,1,0,1
287.056056994507,0,0,0,0,1,1,0,1,0
287.08843879983,0,0,0,0,1,0,0,0,0
287.09249808681,1,1,0,0,1,1,0,1,0
287.095851350916,0,0,0,1,0,0,0,0,0
287.124855166614,1,1,0,1,1,1,1,1,1
287.201670146498,0,1,0,0,0,0,0,0,0
288.051355434884,0,0,0,1,0,0,0,0,0
288.120128787829,1,0,0,0,0,0,0,0,0
288.156510341019,1,1,1,1,1,1,1,1,1
288.998906074004,0,1,0,0,1,0,0,1,0
289.035335238622,1,1,0,1,1,1,1,1,1
289.071733504922,1,1,0,1,1,1,1,1,1
289.075126885359,1,0,1,1,1,0,1,0,1
289.083056783844,0,0,1,0,0,0,0,0,0
289.104085758064,1,0,0,0,0,1,1,1,1
289.108143001339,1,0,0,1,1,1,1,0,1
289.111520171072,1,1,1,1,1,1,1,1,1
289.144556135556,0,1,0,0,0,0,0,0,0
289.180941643669,0,1,0,0,0,0,0,0,0
289.217303242669,0,1,0,0,0,0,0,0,0
290.066981944182,0,0,0,0,0,0,1,0,0
291.014598605754,1,1,1,1,1,1,1,1,1
291.017961400306,0,0,0,0,0,0,0,0,1
291.050985782488,1,1,1,1,1,1,1,1,1
291.090755523447,1,1,1,1,1,1,1,1,1
291.098673822461,0,0,0,1,0,0,1,0,1
291.196548780538,1,1,0,0,0,0,0,0,0
292.042240650347,0,0,0,0,0,0,0,0,1
292.046219924199,0,0,0,1,1,0,0,0,0
292.082602143204,0,0,0,0,1,0,1,0,0
292.085920658108,1,0,0,0,0,0,0,0,0
292.13028576484,0,0,0,0,1,0,0,0,0
292.993895352692,1,1,0,1,1,1,1,1,1
293.030316334653,1,1,1,1,1,1,1,1,1
293.066707280246,1,1,1,1,1,1,1,1,1
293.070069024992,0,0,1,0,0,0,0,0,0
293.087763317162,1,1,0,1,1,1,0,1,0
293.10645314903,1,1,1,1,1,1,1,1,1
293.114267381535,1,1,1,1,1,1,1,1,1
293.142838517349,1,0,0,0,0,0,0,0,0
293.212208631265,0,1,0,0,0,0,0,0,1
294.02550264537,0,0,0,0,1,0,0,1,0
294.061871238235,1,0,0,0,1,1,0,1,0
294.995203997478,0,1,0,0,0,1,0,0,0
295.00951132373,1,1,1,1,1,1,1,1,1
295.04590311567,1,1,1,1,1,1,1,1,1
295.093548011142,0,1,0,0,0,0,0,0,0
295.103494391935,0,1,0,1,0,1,1,0,0
295.122027175825,1,0,0,0,0,0,0,0,0
295.137369757887,0,1,0,0,0,0,0,0,0
295.19144189826,1,1,0,0,0,0,1,0,0
295.227829671269,1,1,0,0,0,0,0,0,0
296.041158658086,0,0,0,0,1,1,0,0,0
296.041329409004,1,0,0,0,0,0,0,0,0
296.125176650321,1,0,0,0,1,0,1,1,1
297.007476757422,0,1,0,0,0,0,0,0,0
297.025193164039,1,1,1,1,1,1,1,1,1
297.040481669324,0,0,0,0,1,1,0,1,0
297.076858374725,1,0,0,0,0,0,0,0,0
297.093867586284,0,0,0,0,0,0,1,0,0
297.116608279898,0,1,0,0,0,0,0,0,0
297.13772162422,1,0,0,0,0,0,0,0,0
297.158356173741,0,1,0,0,0,0,0,0,0
297.243503391361,1,0,0,0,0,0,0,0,0
298.140824139837,0,1,0,0,1,0,1,0,1
298.177221206525,0,1,0,1,0,1,1,1,1
299.004529161838,0,0,0,0,0,0,0,0,1
299.019723068594,0,0,0,0,1,1,1,1,1
299.040885905944,1,1,1,1,1,1,1,1,1
299.056107822858,0,0,0,1,1,1,1,1,1
299.092465654528,0,0,0,0,0,0,0,1,0
299.141917249727,1,1,0,0,0,0,0,0,0
299.161255970354,0,0,0,1,1,0,1,0,1
300.072452790186,1,0,0,1,1,0,1,1,0
300.120137423608,1,1,0,1,1,0,1,0,1
300.156517995133,0,1,0,0,1,0,1,0,1
300.192899891053,1,1,0,1,1,1,1,1,1
300.998955843029,1,1,1,1,0,1,1,1,1
301.020162643022,1,1,0,1,1,1,1,1,1
301.035341309197,1,1,0,1,1,1,1,1,1
301.071730761426,1,1,0,1,1,1,1,1,1
301.084785218452,1,1,0,0,1,1,1,1,1
301.108118324192,0,0,0,0,1,0,1,0,0
301.140531184752,1,0,0,1,1,1,1,0,1
301.144514079467,0,0,0,0,1,0,0,0,0
301.151722812957,0,1,0,0,0,0,0,0,0
301.157568702067,1,1,0,1,1,1,1,0,1
301.238430268254,0,0,0,0,0,0,0,0,1
302.13574432609,1,1,1,1,1,1,1,1,1
302.172131462719,1,1,0,1,1,1,1,1,1
303.014615944586,1,1,0,1,1,1,1,1,1
303.035800609698,1,1,0,1,1,1,1,0,1
303.051014761484,0,0,0,1,1,1,1,1,0
303.069521655947,0,1,0,0,0,0,1,0,1
303.087420249974,1,1,0,1,1,1,1,1,1
303.090773823008,1,1,1,0,0,0,0,0,0
303.119822005987,0,0,0,1,0,0,1,0,1
303.12381011849,1,0,0,0,1,1,1,1,0
303.173192746032,1,1,0,1,1,1,1,1,1
303.196606609027,0,1,0,0,0,0,0,0,0
303.217659936381,1,1,1,1,1,1,1,1,1
304.00254759048,0,0,0,1,1,0,0,0,1
304.046306619031,0,0,0,0,1,0,0,0,0
304.122457722499,1,1,0,0,0,0,0,0,0
304.993861450993,0,0,0,1,1,1,1,1,1
304.994042143024,0,1,0,0,0,0,0,0,0
305.030274203965,1,1,1,1,1,1,1,1,1
305.051456337637,1,1,0,0,0,0,1,1,0
305.066654821895,1,1,1,1,1,1,1,1,1
305.070009125444,1,1,1,1,1,1,0,0,0
305.072055728213,0,0,1,0,0,0,0,0,0
305.077841070476,0,1,1,1,1,0,0,0,0
305.103064603926,1,1,1,1,1,1,1,1,1
305.106420819019,1,0,1,0,0,1,1,0,1
305.135477667815,0,0,0,0,0,0,0,0,1
305.139456921456,1,1,0,1,1,1,1,1,1
305.175849498487,1,1,0,0,1,1,0,0,0
305.212285178356,0,1,0,0,0,0,0,0,0
305.955734075762,0,0,0,0,1,0,0,0,0
305.990090967487,1,0,0,0,0,0,0,0,0
306.025466421041,1,0,0,0,1,0,0,0,0
307.009519970076,1,1,1,1,1,1,1,1,1
307.045927506599,1,1,1,1,1,1,1,1,1
307.085693241582,1,0,1,0,0,0,0,0,0
307.122104008955,1,1,1,0,0,0,0,0,0
307.228008945836,0,1,0,0,0,0,0,0,0
308.073598048318,1,1,0,1,1,0,1,0,1
308.077605234938,1,1,0,0,1,1,1,1,1
308.138234674506,1,0,0,1,1,1,0,1,1
308.98877977796,0,0,0,0,0,1,0,1,0
308.989650608362,0,1,0,0,0,0,0,0,0
309.02518522443,1,1,1,1,1,1,1,1,1
309.064923531994,1,0,0,0,0,1,0,0,0
309.07282514098,0,0,0,0,1,1,0,0,0
309.101372678021,1,1,1,1,0,0,1,1,1
309.109211875195,1,1,0,1,1,1,1,1,1
309.119089199185,1,1,0,1,0,1,1,0,0
309.13777148819,1,0,0,0,0,0,0,0,0
310.056812798433,1,0,0,1,1,1,1,1,0
310.070661408898,0,0,0,1,0,0,0,0,1
311.004431862722,1,0,0,0,1,1,1,1,1
311.019754816177,0,0,0,0,0,1,1,1,0
311.040842997254,1,1,1,1,1,1,1,1,1
311.041720968812,0,1,0,0,0,1,0,0,0
311.056097918132,0,0,0,0,1,0,0,1,0
311.059546926371,0,1,0,0,0,1,0,0,0
311.092459254113,1,0,0,0,0,0,0,0,0
