,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
343.155088353528,1,0,0,0,0,0,0,0,0,0
343.158478469459,0,0,0,0,0,0,0,0,0,1
344.18266441874,1,0,0,0,0,1,1,0,1,1
344.966356005592,0,0,0,0,0,0,0,0,1,0
345.025178166361,1,1,1,1,1,1,1,1,1,1
345.038238340504,1,0,0,0,0,0,0,0,0,0
345.046318715642,1,1,1,1,1,1,1,1,1,1
345.061609991528,1,1,1,1,1,1,1,1,1,1
345.097937172215,1,1,0,1,0,1,1,1,1,0
345.134332592676,1,1,0,1,1,1,1,1,1,0
345.170766400863,0,0,0,0,0,0,0,1,0,0
345.220173512776,0,0,1,0,0,0,0,0,0,0
345.256530360054,0,0,0,0,0,1,0,0,0,0
345.974933798153,1,1,0,1,1,1,1,1,0,0
346.129656277594,0,0,0,0,0,0,1,0,0,0
346.261066404289,0,0,0,0,1,0,0,0,0,0
347.004527163191,0,1,0,0,1,0,0,1,0,0
347.04083035272,1,1,1,1,1,1,1,1,1,1
347.062022130947,0,1,1,1,0,1,0,1,0,1
347.077228409431,1,1,1,1,1,1,1,1,1,1
347.113629831415,1,1,0,1,1,1,1,1,1,0
347.149943444748,1,1,0,1,0,1,1,1,1,1
347.150134058433,0,0,0,0,1,0,0,0,0,0
347.226176343939,0,0,0,0,0,1,0,1,0,0
347.996395439371,0,0,1,0,0,0,0,0,0,0
348.072413958191,0,0,0,0,0,0,0,1,0,0
349.020115304537,1,1,1,1,1,1,1,1,1,0
349.056496668412,1,1,1,1,1,0,1,1,1,0
349.072820082891,0,0,0,1,0,0,0,0,0,0
349.092918031447,1,1,1,1,1,1,1,1,1,1
349.223146358014,0,0,0,0,1,1,0,0,0,0
350.051769709976,1,0,0,0,0,0,0,1,0,0
350.088142822738,0,0,0,0,0,0,0,1,0,0
351.034395775215,0,0,0,0,1,1,0,0,0,1
351.035766012244,1,1,1,1,1,1,1,1,1,1
351.054289053487,0,0,0,0,0,1,0,0,0,0
351.072138333567,1,1,1,1,1,1,1,1,1,1
351.108582655515,1,1,1,1,1,1,1,1,1,0
352.067424420654,0,0,0,1,0,0,0,1,0,0
352.103742233992,1,0,0,0,1,1,0,0,0,0
353.014935493477,1,1,1,1,1,0,0,1,0,0
353.030299683766,0,0,0,0,0,1,0,1,0,0
353.049035877635,1,0,0,0,1,1,0,0,0,1
353.05141925999,1,1,1,1,1,1,1,1,1,1
354.168744027221,0,0,0,0,0,1,0,0,0,0
355.009577446281,0,0,0,0,1,0,0,0,0,0
355.030627188011,1,1,1,1,1,1,1,1,1,1
355.045885027271,0,0,0,1,0,0,0,1,0,0
355.158410308014,0,0,1,0,0,0,0,0,0,0
355.164086172008,0,0,0,0,0,0,0,0,1,0
355.321841099963,0,0,0,1,0,0,0,0,0,0
356.107266378043,0,0,0,0,0,0,1,0,0,0
356.182767131936,0,0,0,0,0,0,0,0,1,0
357.025157978381,0,1,1,1,1,1,1,1,0,0
357.046380027556,1,1,1,1,1,1,1,1,1,1
357.061639132,1,0,0,1,1,1,1,1,1,1
357.074642866779,0,0,0,1,0,0,0,0,0,0
357.095758160634,0,0,1,0,0,0,0,0,0,0
357.097951583257,0,0,0,0,0,0,1,1,0,0
357.174148969742,0,0,0,0,0,0,0,0,0,1
358.198353257738,1,1,0,1,1,1,1,1,1,1
358.993060308094,0,0,0,0,0,0,1,0,0,0
359.004410264481,0,0,0,0,0,0,0,1,0,0
359.040827605703,1,1,1,1,1,1,1,1,1,1
359.053861397628,1,1,0,0,0,0,0,0,0,0
359.061939001258,1,1,1,1,1,1,1,1,1,1
359.075015225637,0,0,0,0,0,1,0,0,0,0
359.077232277101,1,1,0,1,0,1,1,1,1,0
359.111377458472,0,0,1,0,0,0,0,0,0,0
359.113577261528,1,1,0,1,1,1,1,1,1,0
359.150035089665,0,0,0,1,0,0,1,1,0,0
359.990579441568,1,1,0,1,1,1,1,0,1,1
360.17765654334,0,0,0,0,0,0,0,0,1,0
361.020203202757,1,1,1,1,1,1,1,1,0,1
361.056450883082,1,1,1,1,1,1,1,1,1,1
361.092917492873,1,1,1,1,1,1,1,1,1,1
361.129228263743,1,1,0,1,0,1,1,1,1,0
361.165636188115,1,0,0,1,0,1,1,1,0,0
362.088049958924,1,0,0,0,0,0,0,0,0,0
363.03578042413,1,1,1,1,1,1,1,1,1,1
363.072081802094,1,1,1,1,1,1,1,1,1,1
