ID_scanned,Wet_weight_g_tube.without.cap,Date_time.x,true_wet_weight_g,Weight_dry_g,Date_time.y,true_dry_weight_g,percent_water_content_dry,percent_water_content_wet
ECA2_0013_07_SM,47.93,10/20/2020 14:00,41.272,36.05,10/23/20 10:15,29.392,40.4191616766467,28.7846481876333
ECA2_0013_08_SM,49.72,10/20/2020 14:00,43.062,39.67,10/23/20 10:15,33.012,30.4434750999636,23.3384422460638
ECA2_0013_09_SM,45.67,10/20/2020 14:00,39.012,30.2,10/23/20 10:15,23.542,65.7123438960156,39.6544652927304
ECA2_0013_10_SM,45.76,10/20/2020 14:00,39.102,29.6,10/23/20 10:15,22.942,70.438497079592,41.3278093192164
ECA2_0016_01_SM,34.61,10/14/20 10:00 AM,27.952,30.05,NA,23.392,19.4938440492476,16.3136805953062
ECA2_0016_02_SM,37.02,10/14/20 10:00 AM,30.362,30.68,NA,24.022,26.3924735658979,20.8813648639747
ECA2_0016_03_SM,39.13,10/14/20 10:00 AM,32.472,32.49,NA,25.832,25.7045524930319,20.4483863020448
ECA2_0016_04_SM,33.62,10/14/20 10:00 AM,26.962,29.25,NA,22.592,19.3431303116147,16.2079964394333
ECA2_0016_05_SM,35.68,10/14/20 10:00 AM,29.022,31.47,NA,24.812,16.9675963243592,14.5062366480601
ECA2_0016_06_SM,35.59,10/14/20 10:00 AM,28.932,32.48,NA,25.822,12.0439934939199,10.7493432877091
ECA2_0016_07_SM,37.06,10/14/20 10:00 AM,30.402,34.22,NA,27.562,10.3040417966766,9.34149069140189
ECA2_0016_08_SM,32.95,10/14/20 10:00 AM,26.292,29.86,NA,23.202,13.317817429532,11.7526243724327
ECA2_0016_09_SM,39.23,10/14/20 10:00 AM,32.572,35.38,NA,28.722,13.4043590279228,11.8199680707356
ECA2_0016_10_SM,42.05,10/14/20 10:00 AM,35.392,36.78,NA,30.122,17.4955182258814,14.8903707052441
ECA2_0017_01_SM,44.11,11/5/20 14:00,37.452,14.12,11/9/20 14:30,7.462,401.902975073707,80.0758303962405
ECA2_0017_02_SM,45.68,11/5/20 14:00,39.022,14.33,11/9/20 14:30,7.672,408.628779979145,80.3392957818666
ECA2_0017_03_SM,45.37,11/5/20 14:00,38.712,15.92,11/9/20 14:30,9.262,317.965882098899,76.0746021905352
ECA2_0017_04_SM,45.31,11/5/20 14:00,38.652,14.98,11/9/20 14:30,8.322,364.455659697188,78.4694194349581
ECA2_0017_05_SM,43.48,11/5/20 14:00,36.822,16.17,11/9/20 14:30,9.512,287.111017661901,74.1676171853783
ECA2_0017_06_SM,58.01,11/5/20 14:00,51.352,37.07,11/9/20 14:30,30.412,68.8543995791135,40.7773796541517
ECA2_0017_07_SM,56.39,11/5/20 14:00,49.732,32.64,11/9/20 14:30,25.982,91.4094373027481,47.7559720099735
ECA2_0017_08_SM,43.55,11/5/20 14:00,36.892,17.89,11/9/20 14:30,11.232,228.454415954416,69.5543749322346
ECA2_0017_09_SM,46.53,11/5/20 14:00,39.872,16.81,11/9/20 14:30,10.152,292.750197005516,74.5385232744783
ECA2_0017_10_SM,52.82,11/5/20 14:00,46.162,27.7,11/9/20 14:30,21.042,119.380287044958,54.4170529873056
ECA2_0018_01_SM,53.86,11/22/20 12:30,47.202,49.56,11/24/20 13:00,42.902,10.0228427579134,9.10978348375068
ECA2_0018_02_SM,57.77,11/22/20 12:30,51.112,51.35,11/24/20 13:00,44.692,14.3649870222859,12.560651119111
ECA2_0018_03_SM,54.44,11/22/20 12:30,47.782,48.48,11/24/20 13:00,41.822,14.2508727464014,12.4733163115818
ECA2_0018_04_SM,55.4,11/22/20 13:00,48.742,49.4,11/24/20 13:00,42.742,14.0377146600533,12.3097123630545
ECA2_0018_05_SM,57.55,11/22/20 12:30,50.892,51.34,11/24/20 13:00,44.682,13.8982140459245,12.2023107757604
ECA2_0018_06_SM,58.96,11/22/20 12:30,52.302,52.08,11/24/20 13:00,45.422,15.146845141121,13.154372681733
ECA2_0018_07_SM,54.24,11/22/20 12:30,47.582,48.71,11/24/20 13:00,42.052,13.1503852373252,11.622041948636
ECA2_0018_08_SM,47.97,11/22/20 12:30,41.312,43.57,11/24/20 13:00,36.912,11.9202427394885,10.6506584043377
ECA2_0018_09_SM,49.77,11/22/20 12:30,43.112,44.83,11/24/20 13:00,38.172,12.9414230325893,11.458526628317
ECA2_0018_10_SM,57.5,11/22/20 12:30,50.842,53.58,11/24/20 13:00,46.922,8.35429009846128,7.71016089060226
